dataset,aggregation,relation,relation_name,train_triple_count,valid_triple_count,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,selected_stage1_gain_vs_baseline,stage2_gain_vs_selected_stage1,gain_bucket,selected_stage,dependency_stage_attempted,dependency_stage_accepted,valid_stage1_mrr,valid_stage2_mrr,selected_valid_mrr,num_relation_rules,num_relation_dependencies,num_relation_rule_types,num_relation_dependency_types,num_relation_dependency_type_source_pairs,parsed_total_rules,B_rule_count,Uc_rule_count,Ud_rule_count,Z_rule_count,B_ratio,Uc_ratio,Ud_ratio,filtered_synergy_count,filtered_redundancy_count,filtered_dep_total,filtered_dep_per_rule,dep_per_rule,stage1_headroom,relation_time_seconds,rule_weight_B,rule_weight_U,rule_weight_Uc,rule_weight_Ud,dep_weight_BB,dep_weight_BU,dep_weight_UU,dep_weight_B_Uc,dep_weight_B_Ud,dep_weight_Uc_Uc,dep_weight_Uc_Ud,dep_weight_Ud_Ud,stage1_bucket,dep_density_bucket
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,5,P172,2054,107,132,0.469218,0.465274,0.465274,-0.003944,-0.840472,-0.003944,0.000000,negative,rule_only,True,False,0.478691,0.478691,0.478691,1883,2733,3,0,0,1883,131,1333,417,2,0.069570,0.707913,0.221455,1685,1048,2733,1.451407,1.451407,0.530782,35.716397,0.794767,,1.610934,0.786294,1.000000,,,1.000000,,1.000000,1.000000,1.000000,"[0.4,0.6)",Q3
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,6,P840,1348,73,85,0.166816,0.164583,0.166513,-0.000303,-0.181520,-0.002233,0.001930,negative,dependency,True,True,0.208836,0.217356,0.217356,793,205,3,5,205,793,103,351,337,2,0.129887,0.442623,0.424968,162,43,205,0.258512,0.258512,0.833184,56.562779,0.953277,,1.914727,1.396580,1.274468,,,1.172555,,1.276807,1.188238,1.165306,"[0.0,0.2)",Q2
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,7,P530,5626,302,297,0.787819,0.797135,0.797135,0.009316,1.182463,0.009316,0.000000,neutral,rule_only,True,False,0.795794,0.795794,0.795794,116457,465828,3,0,0,116457,429,110891,5125,12,0.003684,0.952206,0.044008,232914,232914,465828,4.000000,4.000000,0.212181,156.772563,0.670368,,0.631709,0.661043,1.000000,,,1.000000,,1.000000,1.000000,,"[0.6,1.0]",Q4
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,8,P509,2898,164,148,0.167524,0.166555,0.167774,0.000250,0.149261,-0.000968,0.001218,neutral,dependency,True,True,0.172739,0.177081,0.177081,1795,111,3,4,111,1795,61,1148,579,7,0.033983,0.639554,0.322563,108,3,111,0.061838,0.061838,0.832476,76.780862,1.093187,,1.958205,0.976824,0.986070,,,,,0.981383,0.972033,0.990057,"[0.0,0.2)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,9,P17,1176,68,79,0.624215,0.616458,0.617118,-0.007097,-1.136978,-0.007757,0.000659,negative,dependency,True,True,0.608537,0.618428,0.618428,2043,4302,3,5,4302,2043,334,1146,562,1,0.163485,0.560940,0.275086,4086,216,4302,2.105727,2.105727,0.375785,26.149396,0.841533,,1.429443,0.864939,1.137325,,,1.118085,,1.170090,1.114208,1.051083,"[0.6,1.0]",Q3
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,10,P136,10621,549,591,0.281182,0.278578,0.280552,-0.000630,-0.223994,-0.002603,0.001973,negative,dependency,True,True,0.253536,0.255145,0.255145,7145,5738,3,5,5738,7145,198,5005,1915,27,0.027712,0.700490,0.268020,4046,1692,5738,0.803079,0.803079,0.718818,261.631123,0.980264,,2.022532,1.767338,1.394646,,,1.376663,,1.476463,1.376256,1.087354,"[0.2,0.4)",Q3
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,11,P1412,11352,634,598,0.491221,0.489723,0.489209,-0.002012,-0.409540,-0.001498,-0.000514,negative,dependency,True,True,0.483073,0.483565,0.483565,6269,5063,3,5,5063,6269,350,5068,840,11,0.055830,0.808422,0.133993,3938,1125,5063,0.807625,0.807625,0.508779,241.106062,0.817590,,2.090227,1.195177,1.109526,,,0.977482,,1.092951,1.086564,0.951707,"[0.4,0.6)",Q3
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,12,P159,156,5,8,0.261812,0.277483,0.277244,0.015432,5.894385,0.015672,-0.000240,positive,dependency,True,True,0.614184,0.614244,0.614244,82,13,3,3,13,82,53,7,22,0,0.646341,0.085366,0.268293,11,2,13,0.158537,0.158537,0.738188,17.016956,1.325481,,1.665971,1.218580,1.017219,,,1.001245,,,1.018711,,"[0.2,0.4)",Q2
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,13,P19,6470,405,339,0.252830,0.252769,0.251995,-0.000835,-0.330091,-0.000061,-0.000773,negative,dependency,True,True,0.270923,0.276918,0.276918,3356,504,3,4,504,3356,279,2177,891,9,0.083135,0.648689,0.265495,416,88,504,0.150179,0.150179,0.747170,202.134678,1.229434,,2.893079,1.647040,1.348395,,,1.490006,,1.273791,1.082773,,"[0.2,0.4)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,14,P1303,5462,317,297,0.447350,0.447270,0.447955,0.000605,0.135274,-0.000080,0.000685,neutral,dependency,True,True,0.465470,0.472954,0.472954,2845,4209,3,5,4209,2845,126,2231,481,7,0.044288,0.784183,0.169069,2902,1307,4209,1.479438,1.479438,0.552650,81.958684,0.757896,,1.716232,1.164144,1.153993,,,1.096130,,1.279452,1.125010,1.048007,"[0.4,0.6)",Q3
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,15,P108,4301,235,259,0.220583,0.222690,0.222690,0.002107,0.955015,0.002107,0.000000,neutral,rule_only,True,False,0.233848,0.233848,0.233848,2760,340,3,0,0,2760,89,1733,936,2,0.032246,0.627899,0.339130,335,5,340,0.123188,0.123188,0.779417,138.570403,1.201001,,2.620371,1.905089,1.000000,,,1.000000,,1.000000,1.000000,,"[0.2,0.4)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,16,P135,404,23,19,0.317221,0.317221,0.318857,0.001636,0.515814,0.000000,0.001636,neutral,dependency,True,True,0.279801,0.280518,0.280518,329,38,3,3,38,329,43,179,107,0,0.130699,0.544073,0.325228,37,1,38,0.115502,0.115502,0.682779,30.504429,0.946458,,1.084948,0.931229,1.100359,,,,,1.106100,1.123360,,"[0.2,0.4)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,17,P264,3104,183,169,0.147635,0.144990,0.145897,-0.001737,-1.176867,-0.002644,0.000907,negative,dependency,True,True,0.164571,0.164828,0.164828,2816,304,3,4,304,2816,146,1787,877,6,0.051847,0.634588,0.311435,281,23,304,0.107955,0.107955,0.852365,74.319948,1.218428,,2.005690,1.522603,0.998402,,,0.994244,,0.991497,0.985626,,"[0.0,0.2)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,18,P495,1842,92,115,0.511636,0.510919,0.513606,0.001970,0.385031,-0.000717,0.002687,neutral,dependency,True,True,0.527884,0.530561,0.530561,2643,5850,3,5,5850,2643,155,2153,331,4,0.058645,0.814605,0.125236,5286,564,5850,2.213394,2.213394,0.488364,58.656970,0.740335,,0.958987,0.712578,1.071027,,,1.056161,,1.070078,1.035914,0.966638,"[0.4,0.6)",Q4
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,19,P30,359,14,18,0.659735,0.662993,0.638776,-0.020959,-3.176851,0.003259,-0.024217,negative,dependency,True,True,0.613736,0.614902,0.614902,1196,3417,3,5,3417,1196,100,1000,95,1,0.083612,0.836120,0.079431,1025,2392,3417,2.857023,2.857023,0.340265,23.139887,0.715120,,0.721472,0.712693,1.012321,,,1.007984,,1.013277,1.012395,1.012002,"[0.6,1.0]",Q4
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,20,P102,2399,136,133,0.430819,0.435386,0.435386,0.004566,1.059924,0.004566,0.000000,neutral,rule_only,True,False,0.443287,0.443287,0.443287,1466,1222,3,0,0,1466,80,1022,357,7,0.054570,0.697135,0.243520,1153,69,1222,0.833561,0.833561,0.569181,61.631447,0.868395,,2.376881,1.036705,1.000000,,,1.000000,,1.000000,1.000000,1.000000,"[0.4,0.6)",Q3
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,21,P551,1741,89,104,0.171179,0.175094,0.175094,0.003916,2.287512,0.003916,0.000000,neutral,rule_only,True,False,0.226482,0.226482,0.226482,1005,110,3,0,0,1005,157,465,381,2,0.156219,0.462687,0.379104,109,1,110,0.109453,0.109453,0.828821,65.940735,1.438680,,1.766723,2.023042,,,,,,1.000000,1.000000,1.000000,"[0.0,0.2)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,22,P20,4872,310,260,0.331718,0.323825,0.333952,0.002233,0.673249,-0.007893,0.010126,neutral,dependency,True,True,0.307689,0.316184,0.316184,2619,1685,3,5,1685,2619,261,1726,623,9,0.099656,0.659030,0.237877,1629,56,1685,0.643375,0.643375,0.668282,149.045225,1.198490,,2.880735,1.302543,1.668278,,,1.222151,,1.702252,1.532401,1.326642,"[0.2,0.4)",Q2
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,23,P737,1381,56,71,0.113389,0.118488,0.121219,0.007830,6.905066,0.005099,0.002731,positive,dependency,True,True,0.150748,0.151888,0.151888,1026,24,3,3,24,1026,46,495,485,0,0.044834,0.482456,0.472710,24,0,24,0.023392,0.023392,0.886611,54.916461,1.259951,,2.434680,2.311425,,,,1.047117,,1.030759,1.050532,,"[0.0,0.2)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,24,P119,1790,91,91,0.348023,0.348678,0.348678,0.000656,0.188370,0.000656,0.000000,neutral,rule_only,True,False,0.361522,0.361522,0.361522,1132,149,3,0,0,1132,53,742,335,2,0.046820,0.655477,0.295936,137,12,149,0.131625,0.131625,0.651977,58.798876,1.117187,,2.501786,1.479631,1.000000,,,1.000000,,1.000000,1.000000,,"[0.2,0.4)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,25,P140,2397,134,120,0.275079,0.276588,0.276588,0.001509,0.548646,0.001509,0.000000,neutral,rule_only,True,False,0.286281,0.286281,0.286281,1647,601,3,0,0,1647,99,1102,440,6,0.060109,0.669095,0.267152,588,13,601,0.364906,0.364906,0.724921,46.819909,1.031125,,2.172659,1.105877,1.000000,,,1.000000,,1.000000,1.000000,1.000000,"[0.2,0.4)",Q2
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,26,P641,391,16,11,0.634534,0.689837,0.689837,0.055303,8.715530,0.055303,0.000000,positive,rule_only,True,False,0.636574,0.636574,0.636574,209,6,3,0,0,209,10,116,83,0,0.047847,0.555024,0.397129,6,0,6,0.028708,0.028708,0.365466,20.475029,0.773465,,1.316704,0.798162,,,,,,,1.000000,,"[0.6,1.0]",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,27,P101,2156,139,126,0.340617,0.342857,0.345755,0.005138,1.508463,0.002240,0.002898,neutral,dependency,True,True,0.354718,0.357370,0.357370,1408,533,3,5,533,1408,54,904,447,3,0.038352,0.642045,0.317472,500,33,533,0.378551,0.378551,0.659383,57.114871,0.937431,,2.591452,1.783317,1.147698,,,1.005372,,1.062208,1.081847,1.007843,"[0.2,0.4)",Q2
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,28,P57,497,33,31,0.227731,0.227731,0.227467,-0.000264,-0.116137,0.000000,-0.000264,negative,dependency,True,True,0.255362,0.257146,0.257146,153,1,3,1,1,153,16,52,85,0,0.104575,0.339869,0.555556,1,0,1,0.006536,0.006536,0.772269,23.605600,0.955354,,1.033676,0.962081,,,,1.025988,,,,,"[0.2,0.4)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,29,P3373,707,35,43,0.967057,0.967057,0.967057,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,1.000000,1.000000,1.000000,1571,3290,3,0,0,1571,131,1226,214,0,0.083386,0.780395,0.136219,148,3142,3290,2.094208,2.094208,0.032943,20.830001,0.930872,,0.631144,0.806883,1.000000,,,1.000000,,1.000000,,,"[0.6,1.0]",Q3
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,30,P40,357,19,15,0.203108,0.203108,0.203108,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.371373,0.371373,0.371373,154,21,3,0,0,154,40,91,23,0,0.259740,0.590909,0.149351,7,14,21,0.136364,0.136364,0.796892,13.177182,1.467931,,0.788321,0.795380,1.000000,,,1.000000,,,,,"[0.2,0.4)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,31,P451,358,15,20,0.683342,0.683342,0.683342,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.455575,,0.455575,4,0,1,0,0,4,4,0,0,0,1.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.316658,9.831685,1.000000,,,,,,,,,,,,"[0.6,1.0]",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,32,P1050,360,28,20,0.285561,0.285561,0.285439,-0.000122,-0.042856,0.000000,-0.000122,negative,dependency,True,True,0.254683,0.256996,0.256996,244,2,3,1,2,244,12,128,104,0,0.049180,0.524590,0.426230,2,0,2,0.008197,0.008197,0.714439,12.825471,0.986499,,1.014580,0.987017,,,,,,,1.012046,,"[0.2,0.4)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,33,P26,772,41,53,0.943403,0.943403,0.943403,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.857152,0.857152,0.857152,10,3,1,0,0,10,10,0,0,0,1.000000,0.000000,0.000000,0,3,3,0.300000,0.300000,0.056597,13.077333,1.000000,,,,1.000000,,,,,,,,"[0.6,1.0]",Q2
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,34,P407,41,1,1,0.500058,0.500058,0.500058,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.500058,0.500058,0.500058,35,1,3,0,0,35,7,16,12,0,0.200000,0.457143,0.342857,1,0,1,0.028571,0.028571,0.499942,9.444940,1.000000,,1.000000,1.000000,,,,,,,1.000000,,"[0.4,0.6)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,35,P37,373,17,13,0.458884,0.453756,0.510937,0.052053,11.343323,-0.005128,0.057181,positive,dependency,True,True,0.596600,0.727723,0.727723,861,3444,3,5,3444,861,111,626,124,0,0.128920,0.727062,0.144019,1722,1722,3444,4.000000,4.000000,0.541116,14.921393,0.819359,,0.957194,0.743889,1.140134,,,1.066192,,1.145064,1.128418,1.087402,"[0.4,0.6)",Q4
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,36,P112,61,3,3,0.000039,0.000039,0.000039,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.097009,,0.097009,4,0,1,0,0,4,4,0,0,0,1.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.999961,9.728110,1.000000,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,37,P131,184,16,12,0.317460,0.317460,0.317460,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.360908,0.360908,0.360908,96,37,3,0,0,96,68,14,14,0,0.708333,0.145833,0.145833,36,1,37,0.385417,0.385417,0.682540,10.224655,1.000000,,1.000000,1.000000,1.000000,,,1.000000,,1.000000,1.000000,,"[0.2,0.4)",Q2
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,38,P749,76,5,1,0.500058,0.500058,0.500058,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.270798,0.270798,0.270798,33,5,3,0,0,33,9,9,15,0,0.272727,0.272727,0.454545,4,1,5,0.151515,0.151515,0.499942,9.384581,1.000000,,1.000000,1.000000,1.000000,,,,,,1.000000,1.000000,"[0.4,0.6)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,39,P361,151,8,12,0.426715,0.427112,0.427112,0.000397,0.093060,0.000397,0.000000,neutral,rule_only,True,False,0.350399,0.350399,0.350399,550,1605,3,0,0,550,50,449,51,0,0.090909,0.816364,0.092727,1100,505,1605,2.918182,2.918182,0.573285,10.316960,0.755168,,0.832825,0.762869,1.000000,,,1.000000,,1.000000,1.000000,1.000000,"[0.4,0.6)",Q4
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,40,P740,123,2,8,0.096999,0.096999,0.096999,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.500058,,0.500058,29,0,3,0,0,29,16,6,7,0,0.551724,0.206897,0.241379,0,0,0,0.000000,0.000000,0.903001,9.271057,0.975825,,1.264471,1.331112,,,,,,,,,"[0.0,0.2)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,41,P2348,131,7,14,0.507185,0.507185,0.507185,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.432014,0.432014,0.432014,126,1,3,0,0,126,22,68,36,0,0.174603,0.539683,0.285714,1,0,1,0.007937,0.007937,0.492815,9.460522,1.000000,,1.000000,1.000000,1.000000,,,,,,,,"[0.4,0.6)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,42,P138,51,4,2,0.166725,0.166725,0.166725,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.011393,,0.011393,32,0,3,0,0,32,24,6,2,0,0.750000,0.187500,0.062500,0,0,0,0.000000,0.000000,0.833275,9.063300,1.000000,,1.000000,1.000000,,,,,,,,,"[0.0,0.2)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,43,P50,16,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.000059,,0.000059,14,0,3,0,0,14,3,5,6,0,0.214286,0.357143,0.428571,0,0,0,0.000000,0.000000,1.000000,8.934670,1.000000,,1.000000,1.000000,,,,,,,,,"[0.0,0.2)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,44,P452,17,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.000000,,0.000000,10,0,3,0,0,10,3,1,6,0,0.300000,0.100000,0.600000,0,0,0,0.000000,0.000000,1.000000,9.006003,1.000000,,1.000000,1.000000,,,,,,,,,"[0.0,0.2)",Q1
codex-m,best_combination_dep_l1_regularization_dep_fix_topk8_0412,45,P2283,9,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.666706,,0.666706,12,0,3,0,0,12,6,2,4,0,0.500000,0.166667,0.333333,0,0,0,0.000000,0.000000,1.000000,8.685141,1.000000,,1.000000,1.000000,,,,,,,,,"[0.0,0.2)",Q1
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0,_hypernym,34796,1174,1251,0.184215,0.186728,0.187940,0.003725,2.021858,0.002513,0.001211,neutral,dependency,True,True,0.180671,0.180793,0.180793,8876,527,0,0,0,8876,2422,3883,2552,19,0.272871,0.437472,0.287517,346,105,451,0.050811,0.059374,0.815785,2075.241836,,,,,,,,,,,,,"[0.0,0.2)",Q1
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,1,_derivationally_related_form,29715,1078,1074,0.959727,0.959727,0.959727,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.948339,0.948339,0.948339,46349,37195,0,0,0,46349,3366,38068,4915,0,0.072623,0.821334,0.106043,23410,11373,34783,0.750458,0.802498,0.040273,791.698237,,,,,,,,,,,,,"[0.6,1.0]",Q2
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,2,_instance_hypernym,2921,107,122,0.364871,0.364871,0.364871,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.299672,0.299672,0.299672,7445,1109,0,0,0,7445,273,6472,696,4,0.036669,0.869308,0.093486,983,67,1050,0.141034,0.148959,0.635129,62.564267,,,,,,,,,,,,,"[0.2,0.4)",Q1
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,3,_also_see,1299,41,56,0.660213,0.651104,0.651146,-0.009067,-1.373282,-0.009108,0.000041,negative,dependency,True,True,0.620847,0.634242,0.634242,2406,2918,0,0,0,2406,324,1001,1081,0,0.134663,0.416043,0.449293,1581,1037,2618,1.088113,1.212801,0.339787,67.101672,,,,,,,,,,,,,"[0.6,1.0]",Q3
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,4,_member_meronym,7402,273,253,0.321906,0.317931,0.328190,0.006284,1.952155,-0.003974,0.010258,neutral,dependency,True,True,0.333338,0.342602,0.342602,2129,615,0,0,0,2129,314,1269,545,1,0.147487,0.596054,0.255989,575,16,591,0.277595,0.288868,0.678094,428.182029,,,,,,,,,,,,,"[0.2,0.4)",Q2
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,5,_synset_domain_topic_of,3116,105,114,0.394953,0.396579,0.389333,-0.005621,-1.423119,0.001625,-0.007246,negative,dependency,True,True,0.393422,0.399530,0.399530,2280,2328,0,0,0,2280,848,981,448,3,0.371930,0.430263,0.196491,3855,42,3897,1.709211,1.021053,0.605047,248.816120,,,,,,,,,,,,,"[0.2,0.4)",Q3
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,6,_has_part,4816,154,172,0.209144,0.205160,0.220292,0.011148,5.330143,-0.003984,0.015132,positive,dependency,True,True,0.255478,0.266996,0.266996,5002,1492,0,0,0,5002,606,2639,1757,0,0.121152,0.527589,0.351259,1308,64,1372,0.274290,0.298281,0.790856,235.528203,,,,,,,,,,,,,"[0.2,0.4)",Q2
WN18RR,best_combination_dep_l1_regularization_dep_fix_topk8_0412,7,_member_of_domain_usage,629,22,24,0.347316,0.347606,0.355021,0.007705,2.218481,0.000290,0.007415,neutral,dependency,True,True,0.394515,0.412102,0.412102,432,115,0,0,0,432,38,328,64,2,0.087963,0.759259,0.148148,102,5,107,0.247685,0.266204,0.652684,11.334196,,,,,,,,,,,,,"[0.2,0.4)",Q2
