dataset,aggregation,relation,relation_name,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,stage2_gain_vs_selected_stage1,selected_stage
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,138,/music/group_member/membership./music/group_membership/group,22,0.34287,0.36385,0.36008,0.01721,5.01906,-0.00377,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,140,/education/field_of_study/students_majoring./education/education/student,34,0.15888,0.18003,0.18003,0.02115,13.31119,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,147,/film/film/distributors./film/film_film_distributor_relationship/region,10,0.56497,0.57264,0.64083,0.07586,13.42762,0.06819,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,150,/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location,38,0.44535,0.44477,0.46076,0.01541,3.46082,0.01600,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,152,/military/military_combatant/military_conflicts./military/military_combatant_group/combatants,17,0.26036,0.25477,0.32639,0.06604,25.36360,0.07162,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,153,/film/film/personal_appearances./film/personal_film_appearance/person,11,0.17994,0.19252,0.19077,0.01084,6.02334,-0.00175,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,158,/tv/tv_network/programs./tv/tv_network_duration/program,26,0.19074,0.18587,0.19863,0.00788,4.13177,0.01276,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,159,/people/person/employment_history./business/employment_tenure/company,24,0.09426,0.09902,0.09910,0.00484,5.13619,0.00008,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,163,/time/event/locations,34,0.17877,0.20123,0.20123,0.02246,12.56328,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,170,/soccer/football_player/current_team./sports/sports_team_roster/team,9,0.04794,0.05519,0.05519,0.00724,15.11018,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,173,/film/film_set_designer/film_sets_designed,8,0.23048,0.26610,0.26747,0.03700,16.05239,0.00137,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,177,/music/artist/contribution./music/recording_contribution/performance_role,14,0.20059,0.21036,0.21091,0.01033,5.14899,0.00056,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,179,/government/politician/government_positions_held./government/government_position_held/basic_title,16,0.54398,0.61727,0.61615,0.07217,13.26792,-0.00112,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,183,/film/film/cinematography,17,0.33953,0.36062,0.35689,0.01736,5.11186,-0.00373,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,184,/film/film/film_production_design_by,10,0.37363,0.39162,0.40046,0.02683,7.18035,0.00885,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,191,/film/film/film_festivals,18,0.19895,0.26012,0.25982,0.06087,30.59555,-0.00030,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,193,/film/film/runtime./film/film_cut/film_release_region,9,0.11941,0.13840,0.13833,0.01892,15.84819,-0.00007,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,199,/organization/organization/place_founded,16,0.09360,0.10217,0.10217,0.00858,9.16527,0.00000,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,207,/organization/organization/child./organization/organization_relationship/child,20,0.22858,0.24915,0.23705,0.00848,3.70774,-0.01209,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,211,/tv/non_character_role/tv_regular_personal_appearances./tv/tv_regular_personal_appearance/person,7,0.57385,0.61512,0.61512,0.04127,7.19176,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,216,/medicine/symptom/symptom_of,31,0.32990,0.34862,0.34825,0.01835,5.56138,-0.00037,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,221,/location/country/official_language,16,0.27862,0.34683,0.34683,0.06821,24.48269,0.00000,rule_only
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,230,/film/film/prequel,18,0.35143,0.37986,0.38026,0.02883,8.20348,0.00040,dependency
FB15k-237,best_combination_dep_l1_regularization_dep_fix_topk8_0412,235,/music/instrument/family,6,0.20394,0.21885,0.22455,0.02060,10.10140,0.00570,dependency
codex-l,best_combination_dep_l1_regularization_dep_fix_topk8_0412,17,P161,1239,0.08128,0.08128,0.08444,0.00316,3.89003,0.00316,dependency
codex-l,best_combination_dep_l1_regularization_dep_fix_topk8_0412,27,P113,20,0.40225,0.40225,0.41679,0.01455,3.61636,0.01455,dependency
codex-l,best_combination_dep_l1_regularization_dep_fix_topk8_0412,35,P159,32,0.34518,0.34518,0.35557,0.01039,3.00856,0.01039,dependency
codex-l,best_combination_dep_l1_regularization_dep_fix_topk8_0412,39,P135,51,0.28819,0.28819,0.29706,0.00887,3.07910,0.00887,dependency
YAGO3-10,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0,isLocatedIn,411,0.38799,0.39722,0.40096,0.01297,3.34275,0.00374,dependency
YAGO3-10,best_combination_dep_l1_regularization_dep_fix_topk8_0412,5,graduatedFrom,42,0.23931,0.24741,0.24833,0.00902,3.76809,0.00092,dependency
YAGO3-10,best_combination_dep_l1_regularization_dep_fix_topk8_0412,8,happenedIn,21,0.40591,0.37936,0.42665,0.02074,5.10940,0.04729,dependency
YAGO3-10,best_combination_dep_l1_regularization_dep_fix_topk8_0412,12,participatedIn,19,0.33396,0.32199,0.36783,0.03386,10.14016,0.04584,dependency
YAGO3-10,best_combination_dep_l1_regularization_dep_fix_topk8_0412,30,hasCapital,13,0.62149,0.64077,0.64077,0.01928,3.10266,0.00000,rule_only
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0,AdG,10464,0.23822,0.24024,0.24592,0.00770,3.23334,0.00568,dependency
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,1,AeG,53477,0.32228,0.35904,0.36636,0.04408,13.67904,0.00732,dependency
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,4,CcSE,13524,0.21476,0.25516,0.25898,0.04422,20.58883,0.00382,dependency
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,6,CtD,71,0.35196,0.36713,0.36713,0.01518,4.31241,0.00000,rule_only
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,14,DrD,62,0.22111,0.26286,0.30484,0.08373,37.87039,0.04199,dependency
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,22,Gr>G,27325,0.03660,0.03773,0.03795,0.00135,3.68329,0.00021,dependency
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,23,PCiC,64,0.51121,0.53226,0.53520,0.02399,4.69197,0.00294,dependency
