dataset,aggregation,MRR,h@1,h@10,time
FB15k-237,structural_r3d6,0.351437,0.265733,0.521035,11512.363663
FB15k-237,structural_r3d6__stage1,0.349652,0.263266,0.522574,11512.363663
FB15k-237,structural_rd,0.344174,0.257525,0.515220,11056.629945
FB15k-237,structural_rd__stage1,0.350534,0.264097,0.523942,11056.629945
FB15k-237,structural_rule_mask,0.347743,0.261067,0.519936,10856.872017
FB15k-237,structural_surprisal_init,0.348360,0.262386,0.518861,11006.098257
FB15k-237,synergy,0.348182,0.262142,0.520497,9431.314043
codex-l,best_combination,0.333575,0.273792,0.447632,5651.252360
codex-l,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.334126,0.274788,0.447763,10712.488123
codex-l,best_combination_dep_score_clip_dep_fix_topk8_0412,0.333453,0.273661,0.447812,10319.341610
codex-l,best_combination_global_preselected_dep_topk_per_kind_dep_fix_topk8_0412,0.332766,0.273269,0.446555,10115.626178
codex-l,best_combination_static_per_rule_dep_norm_dep_fix_topk8_0412,0.332486,0.273040,0.445754,10636.636993
codex-l,canonical,0.331778,0.272157,0.446672,33603.206000
codex-l,dep_scale_surprisal_init,0.333444,0.273400,0.447077,6527.618622
codex-l,ensemble_best_valid,0.335194,0.275882,0.449592,11128.082261
codex-l,eval-maxplus,0.311458,0.253609,0.425185,32.229786
codex-l,eval-noisyor,0.302914,0.241771,0.423993,31.685059
codex-l,init_dep_with_lift,0.332621,0.272093,0.447110,10272.679968
codex-l,pos_auto_ratio,0.330024,0.268975,0.446391,10347.537192
codex-l,redundancy,0.332636,0.273155,0.445656,10114.469510
codex-l,sign_constraint_dependency,0.332814,0.273334,0.446081,10547.249283
codex-l,structural_dep_scale,0.333772,0.274233,0.446979,11261.676880
codex-l,structural_none,0.333535,0.273726,0.447632,10701.019927
codex-l,structural_none__stage1,0.330436,0.270885,0.444268,10701.019927
codex-l,structural_none_lift_k1,0.333574,0.273759,0.447649,10889.826693
codex-l,structural_none_lift_k4,0.333530,0.273710,0.447632,10742.155381
codex-l,structural_none_mix_k1,0.333575,0.273792,0.447632,10953.341341
codex-l,structural_none_mix_k2,0.333530,0.273710,0.447632,11033.040715
codex-l,structural_none_mix_k4,0.333530,0.273710,0.447632,11113.811620
codex-l,structural_none_ratio_k1,0.333560,0.273759,0.447567,10505.925388
codex-l,structural_none_ratio_k2,0.333530,0.273710,0.447632,10742.532613
codex-l,structural_none_ratio_k4,0.333530,0.273710,0.447632,11220.103509
codex-l,structural_r2d3,0.331684,0.271702,0.446310,10854.994048
codex-l,structural_r2d3__stage1,0.329436,0.269579,0.443860,10854.994048
codex-l,structural_r3d6,0.331726,0.272028,0.445885,10708.041263
codex-l,structural_r3d6__stage1,0.329622,0.269791,0.443909,10708.041263
codex-l,structural_rd,0.332875,0.273155,0.447730,10606.980961
codex-l,structural_rd__stage1,0.329303,0.269350,0.444317,10606.980961
codex-l,structural_rule_mask,0.332537,0.273024,0.446326,10824.185633
codex-l,structural_surprisal_init,0.332853,0.272453,0.447485,10892.564023
codex-l,synergy,0.333339,0.273628,0.447306,10519.443008
YAGO3-10,best_combination,0.576069,0.503800,0.705900,4689.109997
YAGO3-10,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.576319,0.504400,0.704700,9059.976976
YAGO3-10,best_combination_dep_score_clip_dep_fix_topk8_0412,0.575810,0.503100,0.705800,8528.034330
YAGO3-10,best_combination_global_preselected_dep_topk_per_kind_dep_fix_topk8_0412,0.574772,0.501900,0.704000,8641.993321
YAGO3-10,best_combination_static_per_rule_dep_norm_dep_fix_topk8_0412,0.574927,0.503200,0.703500,9056.121427
YAGO3-10,canonical,0.573990,0.501100,0.703200,18013.941000
YAGO3-10,dep_scale_surprisal_init,0.577546,0.505700,0.707700,3654.894748
YAGO3-10,ensemble_best_valid,0.577210,0.503900,0.706900,8044.341371
YAGO3-10,eval-maxplus,0.554384,0.487000,0.679200,27.494618
YAGO3-10,eval-noisyor,0.529551,0.449900,0.675400,32.246428
YAGO3-10,init_dep_with_lift,0.569127,0.495900,0.701900,7530.203466
YAGO3-10,pos_auto_ratio,0.572212,0.498600,0.705400,7538.187612
YAGO3-10,redundancy,0.574653,0.502300,0.705100,6946.255344
YAGO3-10,structural_dep_scale,0.577961,0.506300,0.707500,7469.240536
YAGO3-10,structural_none,0.575377,0.502500,0.706300,7140.315297
YAGO3-10,structural_none__stage1,0.572480,0.500100,0.703700,7140.315297
YAGO3-10,structural_none_lift_k1,0.575528,0.502700,0.706500,7296.805254
YAGO3-10,structural_none_lift_k4,0.575377,0.502500,0.706300,7361.569202
YAGO3-10,structural_none_mix_k1,0.575511,0.502700,0.706500,6918.428027
YAGO3-10,structural_none_mix_k2,0.575377,0.502500,0.706300,7061.457002
YAGO3-10,structural_none_mix_k4,0.575377,0.502500,0.706300,7222.240700
YAGO3-10,structural_none_ratio_k1,0.575691,0.502900,0.706400,7125.609602
YAGO3-10,structural_none_ratio_k2,0.575380,0.502500,0.706300,7303.196665
YAGO3-10,structural_none_ratio_k4,0.575377,0.502500,0.706300,7287.306842
YAGO3-10,structural_r2d3,0.576659,0.503500,0.706700,8524.808764
YAGO3-10,structural_r2d3__stage1,0.574017,0.501700,0.703400,8524.808764
YAGO3-10,structural_r3d6,0.568721,0.494700,0.702700,8115.173530
YAGO3-10,structural_r3d6__stage1,0.557344,0.483700,0.691600,8115.173530
YAGO3-10,structural_rd,0.573780,0.499800,0.703300,7556.060288
YAGO3-10,structural_rd__stage1,0.573865,0.501100,0.702800,7556.060288
YAGO3-10,structural_rule_mask,0.574721,0.502800,0.704500,7022.063892
YAGO3-10,structural_surprisal_init,0.575444,0.502200,0.706200,7629.957099
YAGO3-10,synergy,0.575473,0.503100,0.705800,6909.101014
hetionet,best_combination,0.373229,0.312123,0.495143,13384.728304
hetionet,best_combination_dep_l1_regularization_dep_fix_topk8_0412,0.374393,0.313525,0.495880,18716.221745
hetionet,best_combination_dep_score_clip_dep_fix_topk8_0412,0.372298,0.310921,0.494809,15129.642245
