metric,dataset,feature,op,threshold,coverage,n,mean_delta,base_rr,rel_gain,improved,worse,unchanged,improved_sum,worse_sum,improved_mean,worse_mean
official_aligned,KG20C,dep_nonzero_ratio,>=,0.08,0.41407089151450055,3084,0.008113202107920001,0.15575425054978548,0.0520897637097017,3020,64,0,25.25895897276056,-0.23784367193527878,0.00836389369958959,-0.003716307373988731
official_aligned,KG20C,dep_nonzero_ratio,>=,0.04,0.5174543501611171,3854,0.008487086792004689,0.16352236891763872,0.05190168689568935,3764,90,0,32.97708224832853,-0.2678497519424606,0.008761180193498546,-0.0029761083549162287
official_aligned,WN18RR,gt_stage1_official,<=,0.0,0.27811725846407925,1684,0.0030983277105220398,4.873232559469204e-05,63.57849071868451,1561,83,40,5.809654191150394,-0.5920703266312793,0.0037217515638375363,-0.007133377429292522
official_aligned,WN18RR,gt_stage2_official,<=,0.0,0.27811725846407925,1684,0.0030983277105220398,4.873232559469204e-05,63.57849071868451,1561,83,40,5.809654191150394,-0.5920703266312793,0.0037217515638375363,-0.007133377429292522
official_aligned,WN18RR,gt_rules,<=,0.0,0.27811725846407925,1684,0.0030983277105220398,4.873232559469204e-05,63.57849071868451,1561,83,40,5.809654191150394,-0.5920703266312793,0.0037217515638375363,-0.007133377429292522
official_aligned,WN18RR,gt_stage1_official,<=,0.00011451439133773213,0.30008257638315444,1817,0.003194005411317295,0.002803278087518129,1.1393822915888787,1687,90,40,6.445511800999852,-0.642003968636327,0.0038206946064018093,-0.007133377429292522
official_aligned,WN18RR,gt_stage2_official,<=,0.00011451439133773213,0.30008257638315444,1817,0.003194005411317295,0.002803278087518129,1.1393822915888787,1687,90,40,6.445511800999852,-0.642003968636327,0.0038206946064018093,-0.007133377429292522
official_aligned,WN18RR,gt_stage1_official,<=,0.001135087349656474,0.4,2422,0.0030682889055891724,0.03578577845802339,0.08574045438716014,2283,99,40,8.137600094836936,-0.7062043654999597,0.0035644328054476285,-0.007133377429292522
official_aligned,WN18RR,gt_stage2_official,<=,0.001135087349656474,0.4,2422,0.0030682889055891724,0.03578577845802339,0.08574045438716014,2283,99,40,8.137600094836936,-0.7062043654999597,0.0035644328054476285,-0.007133377429292522
official_aligned,WN18RR,gt_stage1_official,<=,0.037447810451164104,0.5000825763831545,3028,0.003111383107274248,0.0964113505687127,0.03227195852895718,2823,131,74,11.697053495012337,-2.275785446185914,0.004143483349278192,-0.017372407986152014
official_aligned,WN18RR,gt_stage2_official,<=,0.03770561610293209,0.5000825763831545,3028,0.002956313519780843,0.09693114808735434,0.03049910764614707,2821,133,74,11.497516665377674,-2.5457993274812805,0.004075688289747492,-0.019141348326926922
official_aligned,WN18RR,top_margin_stage1,<=,0.02015182318124409,0.5012386457473162,3035,0.0039005359481270123,0.16329730683510127,0.023886100902238395,2739,110,186,13.974142250649134,-2.1360156480836503,0.005101913928678033,-0.01941832407348773
official_aligned,WN18RR,top_margin_stage1,<=,0.004142360366143522,0.4,2422,0.0035280458530832356,0.15064690816287057,0.023419304757777835,2195,70,157,10.339860480642765,-1.794933424475168,0.004710642587992148,-0.02564190606393097
official_aligned,WN18RR,top_margin_stage2,<=,0.0008858416963811468,0.30008257638315444,1817,0.003542865357729186,0.15157910159158963,0.023373046287574528,1634,38,145,7.135266505620931,-0.6978801506269989,0.00436674816745467,-0.01836526712176313
official_aligned,WN18RR,top_margin_stage2,<=,0.00012652093892686416,0.2,1211,0.003995054520158183,0.17293677556770357,0.023101243255192683,1051,33,127,5.500224287392096,-0.6622132634805363,0.0052333247263483314,-0.020067068590319283
official_aligned,WN18RR,top_margin_stage2,<=,0.004294824850907346,0.4,2422,0.0034177266005253927,0.149564784586355,0.022851145140733862,2204,61,157,10.008466854084036,-1.7307330276115354,0.004541046667007276,-0.028372672583795663
official_aligned,WN18RR,top_margin_stage2,<=,0.00034249361460367625,0.2500412881915772,1514,0.003719811809741356,0.16305197479447806,0.0228136568994645,1344,34,136,6.301141720858242,-0.6693466409098288,0.004688349494686192,-0.01968666590911261
official_aligned,WN18RR,top_margin_stage2,<=,0.02030448145291415,0.5000825763831545,3028,0.0035610008744595334,0.16235785391314458,0.021933037353182413,2730,112,186,12.932993050805704,-2.1502824029422354,0.004737360091870221,-0.019198950026269958
official_aligned,WN18RR,gt_stage1_official,<=,0.2648592233852716,0.6,3633,0.0038525286190891,0.1872461095723059,0.02057467911022968,3328,181,124,17.16409130500027,-3.1678548318495676,0.005157479358473638,-0.01750196039695894
official_aligned,WN18RR,top_margin_stage1,<=,0.0008853111626158188,0.30008257638315444,1817,0.0030938460498050146,0.15180612880179992,0.02038024468593347,1630,42,145,7.153225065458625,-1.5317067929629138,0.00438848163525069,-0.03646920935625985
