dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
hetionet,balanced5_rf,0.64,288026,0.4987272844669528,0.5307721081687401,0.0642531994936617
hetionet,balanced5_rf,0.66,297026,0.4874810270409394,0.5185847259551464,0.0638049425287579
hetionet,balanced5_rf,0.68,306027,0.4768585295845621,0.507028170650222,0.0632674875123731
hetionet,balanced5_rf,0.7,315028,0.46650922087045155,0.4958156433894439,0.06282067150636372
hetionet,balanced5_rf,0.72,324029,0.457597417109182,0.4861085034105873,0.06230604727081013
hetionet,balanced5_rf,0.74,333030,0.4486737924107964,0.4764309220854003,0.06186483397093534
hetionet,balanced5_rf,0.76,342030,0.441346684463459,0.4683832333798774,0.061259209297757744
hetionet,balanced5_rf,0.78,351031,0.4344957932465488,0.46079837973359095,0.06053588296105117
hetionet,balanced5_rf,0.8,360032,0.42748359170765315,0.4530936495757982,0.0599088675330004
hetionet,balanced5_rf,0.82,369033,0.4201718375585511,0.4451258699113174,0.05939006406941538
hetionet,balanced5_rf,0.84,378034,0.41296456026988454,0.437245741521156,0.05879725184021356
hetionet,balanced5_rf,0.86,387034,0.4057318828854789,0.42939720834934536,0.058327497695186636
hetionet,balanced5_rf,0.88,396035,0.39892972261169085,0.4217993671172512,0.057327502086930604
hetionet,balanced5_rf,0.9,405036,0.3929962427705343,0.41518008161169306,0.05644796674077024
hetionet,balanced5_rf,0.92,414037,0.3875267592799373,0.4090577948463169,0.055560125980426145
hetionet,balanced5_rf,0.94,423038,0.3812958799112279,0.4021142934935084,0.054599104472693005
hetionet,balanced5_rf,0.96,432038,0.37563981853786316,0.39565205973564765,0.05327507950482979
hetionet,balanced5_rf,0.98,441039,0.3704703823140312,0.3896280910545842,0.05171184973246756
hetionet,balanced5_rf,1.0,450040,0.37318845483349955,0.39032189792982713,0.045910967701216165
FB15k-237,balanced5_global_rf_lodo,0.02,816,0.10674201173358183,0.11213883213648593,0.0505594780841685
FB15k-237,balanced5_global_rf_lodo,0.04,1633,0.13662835915725605,0.14614199894101434,0.06963151605157103
FB15k-237,balanced5_global_rf_lodo,0.06,2449,0.16110373693090896,0.16945514390079558,0.051838691820464744
FB15k-237,balanced5_global_rf_lodo,0.08,3266,0.16738955872062672,0.17474103200702182,0.04391835035938363
FB15k-237,balanced5_global_rf_lodo,0.1,4082,0.18315159061093494,0.19088143796256835,0.04220464220839748
FB15k-237,balanced5_global_rf_lodo,0.12,4898,0.19161340905503496,0.19836277566638008,0.03522387417785877
FB15k-237,balanced5_global_rf_lodo,0.14,5715,0.2005315893786002,0.20756062833864244,0.03505202837031107
FB15k-237,balanced5_global_rf_lodo,0.16,6531,0.21824691430525822,0.22568946337880874,0.034101508821979376
FB15k-237,balanced5_global_rf_lodo,0.18,7347,0.235575896185942,0.2436131663672543,0.03411754051003779
FB15k-237,balanced5_global_rf_lodo,0.2,8164,0.2458430867843068,0.2536137167074813,0.031608088007746726
FB15k-237,balanced5_global_rf_lodo,0.22,8980,0.24927079353617937,0.2571274746547632,0.0315186589135783
FB15k-237,balanced5_global_rf_lodo,0.24,9797,0.2586820529579957,0.2666113968770504,0.030652856772952264
FB15k-237,balanced5_global_rf_lodo,0.26,10613,0.2655288564234939,0.2731749466777681,0.028795703628081037
FB15k-237,balanced5_global_rf_lodo,0.28,11429,0.26952176751611706,0.2769579952075792,0.02759045311995978
