selector,dataset,gain_2,gain_4,gain_6,gain_8,gain_10,gain_12,gain_14,gain_16,gain_18,gain_20,gain_22,gain_24,gain_26,gain_28,gain_30,gain_32,gain_34,gain_36,gain_38,gain_40,gain_42,gain_44,gain_46,gain_48,gain_50,gain_52,gain_54,gain_56,gain_57,gain_60,gain_62,gain_64,gain_66,gain_68,gain_70,gain_72,gain_74,gain_76,gain_78,gain_80,gain_82,gain_84,gain_86,gain_88,gain_90,gain_92,gain_94,gain_96,gain_98,gain_100
balanced1_max_global_rf,WN18RR,0.0521906123606261,0.0386983664964442,0.0240762258241982,0.0269430684595866,0.0243185051939285,0.0226436834045899,0.018680059468864,0.014236678632002,0.0115536807822911,0.0098497916193966,0.0090970040933899,0.009042660593727,0.0087334675228756,0.0086590463954849,0.0073363053758253,0.0074040730693256,0.0065632400790405,0.0059083121356278,0.0054974264941145,0.0053865168332625,0.0053931144020078,0.0054028056737023,0.0057800555657165,0.0057520492779923,0.0058357104678812,0.0054113147400398,0.0050514314703882,0.004818759240962,0.0048228539481067,0.005013197561172,0.0050361140388786,0.0047293523362603,0.0052856597154593,0.004989098207887,0.0047313098944368,0.0044919594185075,0.0042752452132381,0.0042369804576658,0.0042284896982645,0.004215649706005,0.0042553572720192,0.0044857262768867,0.0045521499932461,0.0043620314312762,0.0041862730978141,0.0040440765890095,0.0040955618681521,0.004104705797183,0.0040921208817823,0.004156538827257
balanced1_max_global_rf,YAGO3-10,0.131261597268389,0.0990888259926066,0.0885121979977141,0.0917493336812187,0.0777816584220267,0.0728164565075719,0.0774447581323563,0.0737033789658376,0.0660250171560135,0.0663289276051239,0.0631559606310219,0.0593494644255374,0.0580705111988075,0.0542587467329549,0.0506425960855547,0.0535303674315799,0.0531593182436274,0.0516341646895714,0.0508760385179802,0.0513678112917104,0.0508218371138777,0.0506574807792117,0.0494890504497749,0.0506614573234214,0.0496896420928714,0.0495387705142327,0.0494837639283387,0.0484669646933511,0.0477968495282687,0.0460783131462556,0.0450805290359213,0.0445223720761143,0.044252841696877,0.0429763451983453,0.0412012974504751,0.0406338612472747,0.0401740058499562,0.0390672313668327,0.0389372717548974,0.0382058567261149,0.0376533856699119,0.0375773108498702,0.0369876745314474,0.0361494742244119,0.0357913517125298,0.0353339229612292,0.0347664974195738,0.0343402074633365,0.0335126040989239,0.0330330397451519
balanced1_max_global_rf,codex-l,0.019184485676438,0.0278103007658012,0.0261108936667571,0.0223296089009836,0.0188584685863655,0.0158989238729736,0.0151938498935892,0.0144308940931545,0.014051335047204,0.0135445244340293,0.0150079389100361,0.015422580923261,0.0162110206397216,0.0163811540286471,0.0169809009605108,0.0171544653492923,0.0172992360991528,0.0170426871296349,0.0170835925528622,0.0166076224661948,0.0161258630309806,0.0160127217861383,0.0156311517976612,0.0156404570764574,0.0156138239984311,0.0155068555798001,0.0151537794328944,0.01497588515849,0.0159303867304148,0.0150422364040943,0.0151369791860476,0.0149096934048014,0.0148809059124042,0.0147335171103979,0.0156101045240644,0.0153545050412295,0.0152686934221077,0.0149249565144735,0.0149611960057762,0.0155173632132485,0.0156886218127105,0.0157459264249741,0.0155146920365936,0.0155168197022992,0.0153292055579541,0.0152891751063075,0.0151716408221431,0.0151815539294495,0.015171582610213,0.0149772581335478
balanced1_max_global_rf,codex-m,0.0055603765113292,0.0062155997315687,0.0097245547771662,0.0082107850587993,0.0100791828252757,0.0109951107371291,0.0091016851410101,0.0071209414866273,0.007723145502313,0.0077928887717575,0.0085326076032554,0.0074727374947471,0.0078458601072612,0.0076046752406793,0.0081157537325757,0.0092281621635084,0.0092567768321825,0.0093135831794859,0.008442431048907,0.0075531253111864,0.0075049461514575,0.0068607416520447,0.0082152733352685,0.0093524571147132,0.009395370324732,0.0084686351491223,0.0079242657604921,0.0075046624677594,0.0076667407333042,0.0076433120478476,0.0088750889074178,0.0088238369948336,0.0084240744458383,0.008317014256971,0.00784121974345,0.0080167142134768,0.0076696361863548,0.0078971705742201,0.0079005828498182,0.0077895149747302,0.0072437282831523,0.0067879294455877,0.0069526318401844,0.0071191861627701,0.0078401027900183,0.0079797201625584,0.0079745817517697,0.0078411876347788,0.0077019714044253,0.0075604315685129
balanced1_max_global_rf,hetionet,0.3204837049577973,0.227684650811005,0.1857327141422851,0.1648936483073761,0.1492979082154295,0.1383953948592988,0.1285462979749096,0.120641943753458,0.1149365733729668,0.1091789176626809,0.1050894484602256,0.101041961299261,0.0972154290256783,0.0934898085895745,0.0889315871917406,0.084819720177351,0.0809477310276542,0.0771686646696625,0.0738063814643508,0.0743144062268639,0.0737273941794804,0.0698794869755548,0.0682103345662976,0.0671636693469204,0.0658414160055462,0.0664377325645371,0.0657070546292404,0.0620890149647228,0.0609303217740317,0.0602026615017676,0.0592593669083809,0.0602278435639025,0.0597025672293849,0.0572351437312068,0.0560544891267151,0.0553823195224512,0.0546376877892396,0.0555917329892048,0.0550223886864453,0.0529392459777253,0.0519508784709261,0.0513157806861375,0.050800854391501,0.0514526334300193,0.0509471666772944,0.0495503219140753,0.0487011226891769,0.0482654479748285,0.0477119576035112,0.0459109677012161
balanced1_syn_global_rf,FB15k-237,0.0409749500703189,0.039126818416326,0.0393181842545762,0.038402466762982,0.041479750902212,0.0460537539165701,0.0462230412087858,0.0428117524310096,0.0365343943354108,0.0357432553911913,0.0359520694531481,0.0311398641190572,0.0282064764669298,0.0273694124873622,0.0269623993683476,0.0270031142498394,0.0266241501849051,0.0255016571989492,0.0234923492425387,0.0217983457137425,0.0207627132234236,0.0203559555887711,0.0194728129231913,0.0184963546540335,0.0178932909990192,0.01703105964036,0.0164046990064565,0.0159935001274653,0.0153841966165482,0.0146938000443122,0.0142706404816024,0.0136605573541637,0.0133579986857288,0.0131559609773714,0.0127826453768551,0.0123698927210109,0.012030082934862,0.0116537131622582,0.0114320871558339,0.0114602425611696,0.0111757848260394,0.0107598918581997,0.0104482081169048,0.0102228250851392,0.0099856749421798,0.0101666370498503,0.0099404890651273,0.0096875757479277,0.0094475413916574,0.0091863930002085
balanced1_syn_global_rf,KG20C,0.1280579982574046,0.0644634760717886,0.0569447700727727,0.0739331721787401,0.0834779930430869,0.0765938320230699,0.0720215025509882,0.0688772575899248,0.0653279161484265,0.0688857107104239,0.0648948691050186,0.0649623541802559,0.0582718697187216,0.0446495588006337,0.0542166871204548,0.0568699298947277,0.0586472075486346,0.064831888601355,0.0656985603921391,0.0655820739075048,0.0609967016111614,0.0567447217784686,0.0547795856903337,0.0568150769504107,0.0584434647168596,0.0610992775193199,0.0597550100365855,0.0627407619826487,0.0626460455842978,0.0657241479288861,0.0657203391937655,0.0628121926128086,0.0639482658550036,0.0590023973353988,0.0545558190523085,0.052929532532099,0.0509565200833526,0.0478384040147727,0.045526223831342,0.0454039086905886,0.0452370831199104,0.0425398831989476,0.0409244257243586,0.0415200073357209,0.0396925351762538,0.0366186678541646,0.0354952443461111,0.0354008722557497,0.0345163005505075,0.0335983049479202
balanced1_syn_global_rf,WN18RR,0.0386262263680659,0.0263820786001516,0.0243735776222682,0.018355436120365,0.0163515101460405,0.0203167456767434,0.0181675045419378,0.0136187542012624,0.010941783387744,0.0090959042134042,0.0083677554193142,0.0083445845820042,0.0081450434758976,0.0081016516802787,0.0081552140249694,0.0083426937696418,0.007416149148137,0.006672737328945,0.0060686162674266,0.0058155580895098,0.005821419254699,0.0058068193556439,0.0058145112454088,0.0061955013561079,0.0059145822506918,0.0054834173213476,0.0051150891359001,0.0047830728120838,0.0043865901713537,0.0043970580377354,0.0044388442910396,0.0044718630157221,0.0048049559014868,0.0051085039739517,0.0048349468749737,0.0045923912610199,0.0043763054142202,0.0043609822874695,0.0043727037684608,0.0044586811265607,0.0044656975651744,0.0046059043206336,0.0046835626655532,0.0044803931015615,0.0043027112748388,0.004137209558453,0.0041553359640471,0.0041655048327553,0.0041455349388235,0.004156538827257
balanced1_syn_global_rf,YAGO3-10,0.0819681148744817,0.0794475776475633,0.0632550166051411,0.0571454372805972,0.0628933244256608,0.0641308626633818,0.0555159029152738,0.0531318389482113,0.0530028109431215,0.0526631605693217,0.0532873871171977,0.0541992186530484,0.0562604345422692,0.0558994617983452,0.0524660493635962,0.0489062113828564,0.0482537939586997,0.0463289199007224,0.0436500126864574,0.0439356788021549,0.0439135130133236,0.042822934984573,0.0423974147377959,0.0426231902728124,0.0419029025900377,0.0421341124013641,0.041696427871962,0.0402720580425981,0.0394923665506081,0.0389190562278387,0.0385112198164561,0.0389789424304221,0.0385818759163181,0.0381377747737494,0.0382438442668311,0.0367960991028515,0.0366608106832309,0.036341230044373,0.036115207842627,0.0360355866264938,0.035620550668133,0.035183713899707,0.0351037763444832,0.0347966666552514,0.0343411588808648,0.0340276224430042,0.0337159582323989,0.0333435347571122,0.0329895153103085,0.0330330397451519
balanced1_syn_global_rf,codex-l,0.0236275137559633,0.0335983029572166,0.0419733260853205,0.039827372150339,0.0342105720116237,0.0306492015538253,0.029094447400245,0.0282232937958697,0.0287037939575822,0.0268930182322455,0.0265661733659605,0.0259079465297364,0.025564815410719,0.0253301296994223,0.0241255403215812,0.0230229295074322,0.0226099443789904,0.0213889880184825,0.0205647780421591,0.0197990762628907,0.0189487252952773,0.0184618427542277,0.0180207874939024,0.0174177436856772,0.0173684343151059,0.0167650386950839,0.0166530243071127,0.0160532712663727,0.0156140047705883,0.0158582302285037,0.0157235557499142,0.0156340164078898,0.01569892324384,0.0151506665348402,0.0152120960406036,0.0150567964842869,0.0148447647839204,0.0151837642890344,0.0152502141882016,0.0152254859661924,0.0154953671292503,0.0155407215323839,0.015255737646409,0.0154777313440381,0.0152221541745585,0.0150944403344899,0.0156406099325792,0.0151882147132318,0.0152464001182126,0.0149772581335478
balanced1_syn_global_rf,codex-m,0.0143638063857765,0.0012673510373617,0.0023839913207703,0.0022072103161294,0.0036604555309727,0.0032507691059389,0.0026870017262696,0.0024855456997896,0.0041032880577078,0.004965184982113,0.0065256572898577,0.0066418499033924,0.0077495444739315,0.0077501959435588,0.0073027145764841,0.0079207785041004,0.0091299099736832,0.009175821756288,0.0090721444957049,0.0083990336293662,0.0073164242193688,0.0068922305439234,0.0069991827431079,0.0076905294240245,0.0076546460121524,0.0076898504906315,0.0068260759678409,0.006481896387102,0.0063560934202213,0.006488036306435,0.0076559358562524,0.0077441369981454,0.0073094780284983,0.0069042498585383,0.0068331373232715,0.0067803638459917,0.0069096723882713,0.0079904861621686,0.0082409636285081,0.0080032044052651,0.0078374404233731,0.0075511898582756,0.0075701698603156,0.0073503629784965,0.0079152950455676,0.0079864078298368,0.0078887633446891,0.0076097641779944,0.0075898016640605,0.0075604315685127
balanced1_syn_global_rf,hetionet,0.2558086551162244,0.2126368975019898,0.1981191716542043,0.1880968252052273,0.1737323276862292,0.1666787280570485,0.1608761719566906,0.156534487536051,0.1530069574139934,0.1456128261409399,0.1405817482504443,0.1279087170673056,0.1184991623480755,0.1108991240552395,0.1044145742716324,0.0995422207876706,0.0958554937306264,0.0922052367510495,0.0895520112196064,0.086316525522073,0.0828570213996773,0.0824457254483488,0.0798298407375597,0.0766646937250281,0.075341835762537,0.074052768570235,0.0732108440935173,0.0727329555298554,0.0692025213816955,0.0677558149590804,0.0669099962574892,0.065848813599713,0.0655733014413133,0.0639843666720259,0.0617185091186864,0.0606393495748069,0.059861584301968,0.0593766783583347,0.0589982522960161,0.0569064525135254,0.055736169511223,0.0550498096884655,0.0542549399984098,0.0541306788422346,0.0531425676811145,0.0515927485251992,0.0509486479501601,0.0503287073274665,0.0493373496863822,0.0459109677012161
balanced1_topk_global_rf,FB15k-237,0.0092734883129934,0.0146084498015683,0.023530568507015,0.0250010399902282,0.018764382935476,0.0172236181142284,0.0157231410766962,0.0149409051661713,0.0145105939108982,0.0133071800855775,0.0123042791225533,0.0117171778236542,0.0111046296993411,0.0106603025932467,0.0102233518279224,0.0090729269993321,0.0083347778869276,0.0080460203973085,0.0077641256703582,0.0078583377851928,0.0079760485307023,0.0079426887553843,0.0081394513694028,0.0078539558474661,0.0083223473783211,0.0095862413719451,0.009194875380116,0.0093422878133113,0.0094831686718943,0.0096494517748826,0.0090788922999198,0.0091389775478756,0.0092121827543094,0.009554297252432,0.0097930308408529,0.0098237360584172,0.0096663900014088,0.0099843903404914,0.0100417100288985,0.0099445986400104,0.0101164033636813,0.0101405420723059,0.0101953732772188,0.0098690621329917,0.0096323791769568,0.009614871517793,0.0096383380644531,0.0093922225569418,0.0092262360895027,0.0091863930002082
balanced1_topk_global_rf,KG20C,0.0089133434600221,0.0097538518742041,0.0156963896663464,0.0027261879877382,0.0045801063030279,0.0096525755423457,0.0209466109897782,0.0162393584172149,0.0132597720139664,0.0089632235650123,0.0179157786909129,0.0174027537945693,0.0208617480878106,0.0164641461255403,0.0186413341870457,0.0179524336757126,0.0201467274070636,0.0189353992516057,0.0183379207265339,0.0156878766853565,0.0146505968379506,0.0132461812548116,0.0124809585495393,0.0145508149858062,0.017014569729375,0.0177838287408318,0.0189867732453459,0.0212127897401985,0.0210895929605778,0.0223796819617532,0.0237014580901306,0.0233875705211987,0.024367926760733,0.0234247421729685,0.0234694247421245,0.023410594074857,0.0231661801665943,0.0248809200301869,0.02430241302892,0.0259642687176571,0.0283426561726303,0.0281737216553659,0.0268030572132502,0.0280892318182643,0.0286155359892619,0.0300785930648599,0.0314741160561746,0.032691987424404,0.0324293089634901,0.03359830494792
balanced1_topk_global_rf,WN18RR,0.0030357978129558,0.0006255117324582,0.0007025350261702,0.0005731273010496,0.0006165332321568,0.0009130917068189,0.0007664267309763,0.0006608238945609,0.0005970005070523,0.0007185921231427,0.0007940138040753,0.0007853920242109,0.0007601975767665,0.0007410620661141,0.0007304984552833,0.0007547935141238,0.0008495686096032,0.0012746355845316,0.0013746601549771,0.001681533949456,0.0018473580051401,0.0023492242557778,0.0025088535254744,0.0029998180844323,0.0032174543621601,0.0034116013512361,0.0037133334284389,0.0034457848730551,0.0036564924003361,0.0038749375315016,0.0038738767301151,0.0042358643598017,0.0041736370320784,0.00424226133985,0.0043158776971365,0.0043969569146076,0.0044460977774745,0.004610375552023,0.0045224713563487,0.0045651700594291,0.0045287459888059,0.0043165952751351,0.0043304373015597,0.0044152224271734,0.0041536538709359,0.00414211788169,0.0039865584982021,0.0039852646295917,0.0040543500495942,0.0041565388272568
balanced1_topk_global_rf,YAGO3-10,0.0872303270384424,0.0733339822025997,0.0805273441498619,0.0777997852393936,0.0835350156034551,0.0688138008934469,0.0628616412130236,0.0547364764590794,0.0517509110750895,0.0479692762176127,0.0453560569959106,0.043231340239634,0.0438141956200024,0.0414548939146548,0.0377539701114122,0.03581627981233,0.0343425064887716,0.0323001039963237,0.030979755230138,0.0326292093947817,0.0317425955808587,0.0308858207054187,0.0295724953655192,0.0297099223045931,0.0291097295530993,0.0289099873429632,0.0280893876521857,0.0282972037227304,0.0280826443377502,0.0294343493474393,0.0300600918310558,0.0304277006177335,0.0310311019195046,0.031750021364268,0.0320219686563567,0.0325260240426159,0.032469725774207,0.0335497264902158,0.0340744768050689,0.0347094337336537,0.0337822844496915,0.0339006385061462,0.0343690511158452,0.0351592394498467,0.0353282275388111,0.0347756433333794,0.0341552745820461,0.0336796561844581,0.033484664688707,0.0330330397451519
balanced1_topk_global_rf,codex-l,0.0565561730427384,0.0335606149667522,0.0235221293313139,0.0194228255879471,0.0172838432187469,0.0153254055610057,0.0128858214774703,0.0110633250892273,0.0112942581095469,0.0105671707752574,0.0103905763707141,0.0108429340680111,0.0107638809705008,0.0114316302611021,0.0114766925017564,0.0117027735140973,0.0122139850350324,0.0119630599981221,0.0125797142853654,0.0122617962156825,0.0126928857893668,0.0127357315151703,0.0131291660493362,0.0138523463246196,0.0143071835460319,0.0145189855476275,0.0149018771667477,0.0150855507678788,0.0155630063387426,0.0153857898305427,0.0160887255367507,0.0163515109682756,0.0164488422848483,0.0163871307943113,0.0160957618525598,0.0160329632727891,0.015968502788372,0.0159081585100395,0.0157165863186421,0.0157987734558637,0.0157889061753568,0.0160949209137977,0.0161314895848005,0.0162046643478954,0.0161575319297411,0.0162299435856201,0.0159382136725878,0.015923654731712,0.0157520110929643,0.0149772581335478
balanced1_topk_global_rf,codex-m,0.0103942077691332,0.0286687118695967,0.0193307077297999,0.0152790177634856,0.0213251831491427,0.0211744935566571,0.0176203818692781,0.0166279186519402,0.0148659244858724,0.0157346590119866,0.0151498408436929,0.0141496038073654,0.0133723554547848,0.0117606979937499,0.01073557808277,0.0098793383799669,0.0091895741383887,0.0090011169656407,0.0089731075769838,0.00865835515848,0.0081454618195313,0.0075025104036594,0.0077412715652511,0.0074376436008074,0.0072337573125473,0.0071188162823627,0.0071363825298276,0.0071426784338739,0.0071881101891226,0.0069271318405899,0.0068028012201739,0.007066364426667,0.0066936965912463,0.0067403522016658,0.0067295415553345,0.0069274778166996,0.0071111193109654,0.0073599306155618,0.0076160530497519,0.0073674617753933,0.0075798838891119,0.0074989244572853,0.0075604013730985,0.007646738882981,0.0075400650310657,0.0077503641886087,0.0076251707275341,0.0075548733470625,0.0076877844505329,0.0075604315685127
