dataset,aggregation,relation,relation_name,train_triple_count,valid_triple_count,test_triple_count,baseline_stage1_mrr,selected_config_stage1_mrr,final_test_mrr,gain_vs_baseline,rel_gain_pct,selected_stage1_gain_vs_baseline,stage2_gain_vs_selected_stage1,gain_bucket,selected_stage,dependency_stage_attempted,dependency_stage_accepted,valid_stage1_mrr,valid_stage2_mrr,selected_valid_mrr,num_relation_rules,num_relation_dependencies,num_relation_rule_types,num_relation_dependency_types,num_relation_dependency_type_source_pairs,parsed_total_rules,B_rule_count,Uc_rule_count,Ud_rule_count,Z_rule_count,B_ratio,Uc_ratio,Ud_ratio,filtered_synergy_count,filtered_redundancy_count,filtered_dep_total,filtered_dep_per_rule,dep_per_rule,stage1_headroom,relation_time_seconds,rule_weight_B,rule_weight_U,rule_weight_Uc,rule_weight_Ud,dep_weight_BB,dep_weight_BU,dep_weight_UU,dep_weight_B_Uc,dep_weight_B_Ud,dep_weight_Uc_Uc,dep_weight_Uc_Ud,dep_weight_Ud_Ud,stage1_bucket,dep_density_bucket
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,5,P172,2054,107,132,0.469218,0.461579,0.469535,0.000317,0.067635,-0.007639,0.007956,neutral,dependency,True,True,0.475890,0.477069,0.477069,1883,2733,0,0,0,1883,131,1333,417,2,0.069570,0.707913,0.221455,1685,1048,2733,1.451407,1.451407,0.530782,33.411486,,,,,,,,,,,,,"[0.4,0.6)",Q3
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,6,P840,1348,73,85,0.166816,0.169901,0.172740,0.005924,3.551096,0.003085,0.002838,positive,dependency,True,True,0.209395,0.218035,0.218035,793,205,0,0,0,793,103,351,337,2,0.129887,0.442623,0.424968,162,43,205,0.258512,0.258512,0.833184,45.621411,,,,,,,,,,,,,"[0.0,0.2)",Q2
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,7,P530,5626,302,297,0.787819,0.786716,0.786716,-0.001103,-0.140035,-0.001103,0.000000,negative,rule_only,True,False,0.795447,0.795132,0.795447,116457,465828,0,0,0,116457,429,110891,5125,12,0.003684,0.952206,0.044008,232914,232914,465828,4.000000,4.000000,0.212181,102.194776,,,,,,,,,,,,,"[0.6,1.0]",Q4
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,8,P509,2898,164,148,0.167524,0.163788,0.169158,0.001635,0.975857,-0.003736,0.005370,neutral,dependency,True,True,0.172032,0.177823,0.177823,1795,111,0,0,0,1795,61,1148,579,7,0.033983,0.639554,0.322563,108,3,111,0.061838,0.061838,0.832476,65.024333,,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,9,P17,1176,68,79,0.624215,0.624693,0.620553,-0.003662,-0.586598,0.000478,-0.004140,negative,dependency,True,True,0.609659,0.613446,0.613446,2043,4302,0,0,0,2043,334,1146,562,1,0.163485,0.560940,0.275086,4086,216,4302,2.105727,2.105727,0.375785,27.810054,,,,,,,,,,,,,"[0.6,1.0]",Q3
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,10,P136,10621,549,591,0.281182,0.280655,0.283820,0.002638,0.938265,-0.000527,0.003165,neutral,dependency,True,True,0.249775,0.254406,0.254406,7145,5738,0,0,0,7145,198,5005,1915,27,0.027712,0.700490,0.268020,4046,1692,5738,0.803079,0.803079,0.718818,189.463114,,,,,,,,,,,,,"[0.2,0.4)",Q3
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,11,P1412,11352,634,598,0.491221,0.490913,0.491304,0.000084,0.017019,-0.000308,0.000391,neutral,dependency,True,True,0.485484,0.486656,0.486656,6269,5063,0,0,0,6269,350,5068,840,11,0.055830,0.808422,0.133993,3938,1125,5063,0.807625,0.807625,0.508779,160.020544,,,,,,,,,,,,,"[0.4,0.6)",Q3
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,12,P159,156,5,8,0.261812,0.304079,0.304079,0.042267,16.144141,0.042267,0.000000,positive,rule_only,True,False,0.614102,0.614085,0.614102,82,13,0,0,0,82,53,7,22,0,0.646341,0.085366,0.268293,11,2,13,0.158537,0.158537,0.738188,22.034201,,,,,,,,,,,,,"[0.2,0.4)",Q2
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,13,P19,6470,405,339,0.252830,0.254862,0.251739,-0.001091,-0.431507,0.002032,-0.003123,negative,dependency,True,True,0.269903,0.277838,0.277838,3356,504,0,0,0,3356,279,2177,891,9,0.083135,0.648689,0.265495,416,88,504,0.150179,0.150179,0.747170,233.107170,,,,,,,,,,,,,"[0.2,0.4)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,14,P1303,5462,317,297,0.447350,0.448870,0.449574,0.002224,0.497142,0.001521,0.000703,neutral,dependency,True,True,0.464952,0.469954,0.469954,2845,4209,0,0,0,2845,126,2231,481,7,0.044288,0.784183,0.169069,2902,1307,4209,1.479438,1.479438,0.552650,105.926373,,,,,,,,,,,,,"[0.4,0.6)",Q3
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,15,P108,4301,235,259,0.220583,0.218963,0.221494,0.000910,0.412697,-0.001621,0.002531,neutral,dependency,True,True,0.232527,0.234270,0.234270,2760,340,0,0,0,2760,89,1733,936,2,0.032246,0.627899,0.339130,335,5,340,0.123188,0.123188,0.779417,120.303481,,,,,,,,,,,,,"[0.2,0.4)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,16,P135,404,23,19,0.317221,0.317221,0.318260,0.001039,0.327603,0.000000,0.001039,neutral,dependency,True,True,0.279801,0.280617,0.280617,329,38,0,0,0,329,43,179,107,0,0.130699,0.544073,0.325228,37,1,38,0.115502,0.115502,0.682779,15.292924,,,,,,,,,,,,,"[0.2,0.4)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,17,P264,3104,183,169,0.147635,0.145959,0.145819,-0.001816,-1.229969,-0.001676,-0.000140,negative,dependency,True,True,0.160906,0.164239,0.164239,2816,304,0,0,0,2816,146,1787,877,6,0.051847,0.634588,0.311435,281,23,304,0.107955,0.107955,0.852365,86.312574,,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,18,P495,1842,92,115,0.511636,0.506103,0.501962,-0.009674,-1.890748,-0.005533,-0.004141,negative,dependency,True,True,0.523750,0.527481,0.527481,2643,5850,0,0,0,2643,155,2153,331,4,0.058645,0.814605,0.125236,5286,564,5850,2.213394,2.213394,0.488364,61.516598,,,,,,,,,,,,,"[0.4,0.6)",Q3
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,19,P30,359,14,18,0.659735,0.679156,0.711996,0.052261,7.921512,0.019421,0.032840,positive,dependency,True,True,0.612325,0.617149,0.617149,1196,3417,0,0,0,1196,100,1000,95,1,0.083612,0.836120,0.079431,1025,2392,3417,2.857023,2.857023,0.340265,29.280798,,,,,,,,,,,,,"[0.6,1.0]",Q4
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,20,P102,2399,136,133,0.430819,0.434475,0.444429,0.013610,3.159047,0.003656,0.009954,positive,dependency,True,True,0.440921,0.445509,0.445509,1466,1222,0,0,0,1466,80,1022,357,7,0.054570,0.697135,0.243520,1153,69,1222,0.833561,0.833561,0.569181,64.494888,,,,,,,,,,,,,"[0.4,0.6)",Q3
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,21,P551,1741,89,104,0.171179,0.174252,0.174252,0.003073,1.795241,0.003073,0.000000,neutral,rule_only,True,False,0.225683,0.220411,0.225683,1005,110,0,0,0,1005,157,465,381,2,0.156219,0.462687,0.379104,109,1,110,0.109453,0.109453,0.828821,75.982168,,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,22,P20,4872,310,260,0.331718,0.323171,0.328254,-0.003465,-1.044477,-0.008547,0.005082,negative,dependency,True,True,0.309418,0.310618,0.310618,2619,1685,0,0,0,2619,261,1726,623,9,0.099656,0.659030,0.237877,1629,56,1685,0.643375,0.643375,0.668282,159.754459,,,,,,,,,,,,,"[0.2,0.4)",Q2
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,23,P737,1381,56,71,0.113389,0.107510,0.116913,0.003524,3.107445,-0.005879,0.009403,positive,dependency,True,True,0.153469,0.166337,0.166337,1026,24,0,0,0,1026,46,495,485,0,0.044834,0.482456,0.472710,24,0,24,0.023392,0.023392,0.886611,37.034023,,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,24,P119,1790,91,91,0.348023,0.343616,0.343616,-0.004407,-1.266272,-0.004407,0.000000,negative,rule_only,True,False,0.366477,0.364162,0.366477,1132,149,0,0,0,1132,53,742,335,2,0.046820,0.655477,0.295936,137,12,149,0.131625,0.131625,0.651977,55.772855,,,,,,,,,,,,,"[0.2,0.4)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,25,P140,2397,134,120,0.275079,0.277667,0.277667,0.002588,0.940947,0.002588,0.000000,neutral,rule_only,True,False,0.285210,0.284919,0.285210,1647,601,0,0,0,1647,99,1102,440,6,0.060109,0.669095,0.267152,588,13,601,0.364906,0.364906,0.724921,42.432029,,,,,,,,,,,,,"[0.2,0.4)",Q2
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,26,P641,391,16,11,0.634534,0.668625,0.657262,0.022727,3.581728,0.034091,-0.011364,positive,dependency,True,True,0.625165,0.625224,0.625224,209,6,0,0,0,209,10,116,83,0,0.047847,0.555024,0.397129,6,0,6,0.028708,0.028708,0.365466,14.588485,,,,,,,,,,,,,"[0.6,1.0]",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,27,P101,2156,139,126,0.340617,0.345321,0.345321,0.004703,1.380866,0.004703,0.000000,neutral,rule_only,True,False,0.353717,0.352294,0.353717,1408,533,0,0,0,1408,54,904,447,3,0.038352,0.642045,0.317472,500,33,533,0.378551,0.378551,0.659383,57.387908,,,,,,,,,,,,,"[0.2,0.4)",Q2
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,28,P57,497,33,31,0.227731,0.227731,0.227467,-0.000264,-0.116137,0.000000,-0.000264,negative,dependency,True,True,0.255362,0.257131,0.257131,153,1,0,0,0,153,16,52,85,0,0.104575,0.339869,0.555556,1,0,1,0.006536,0.006536,0.772269,25.823057,,,,,,,,,,,,,"[0.2,0.4)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,29,P3373,707,35,43,0.967057,0.967057,0.967057,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,1.000000,1.000000,1.000000,1571,3290,0,0,0,1571,131,1226,214,0,0.083386,0.780395,0.136219,148,3142,3290,2.094208,2.094208,0.032943,24.918720,,,,,,,,,,,,,"[0.6,1.0]",Q3
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,30,P40,357,19,15,0.203108,0.203108,0.203108,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.371373,0.371373,0.371373,154,21,0,0,0,154,40,91,23,0,0.259740,0.590909,0.149351,7,14,21,0.136364,0.136364,0.796892,16.436858,,,,,,,,,,,,,"[0.2,0.4)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,31,P451,358,15,20,0.683342,0.683342,0.683342,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.455575,,0.455575,4,0,0,0,0,4,4,0,0,0,1.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.316658,11.309317,,,,,,,,,,,,,"[0.6,1.0]",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,32,P1050,360,28,20,0.285561,0.285561,0.285439,-0.000122,-0.042856,0.000000,-0.000122,negative,dependency,True,True,0.254683,0.256988,0.256988,244,2,0,0,0,244,12,128,104,0,0.049180,0.524590,0.426230,2,0,2,0.008197,0.008197,0.714439,12.762081,,,,,,,,,,,,,"[0.2,0.4)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,33,P26,772,41,53,0.943403,0.943403,0.943403,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.857152,0.857152,0.857152,10,3,0,0,0,10,10,0,0,0,1.000000,0.000000,0.000000,0,3,3,0.300000,0.300000,0.056597,14.623028,,,,,,,,,,,,,"[0.6,1.0]",Q2
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,34,P407,41,1,1,0.500058,0.500058,0.500058,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.500058,0.500058,0.500058,35,1,0,0,0,35,7,16,12,0,0.200000,0.457143,0.342857,1,0,1,0.028571,0.028571,0.499942,10.913018,,,,,,,,,,,,,"[0.4,0.6)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,35,P37,373,17,13,0.458884,0.454741,0.436222,-0.022662,-4.938436,-0.004143,-0.018519,negative,dependency,True,True,0.564534,0.612391,0.612391,861,3444,0,0,0,861,111,626,124,0,0.128920,0.727062,0.144019,1722,1722,3444,4.000000,4.000000,0.541116,14.608331,,,,,,,,,,,,,"[0.4,0.6)",Q4
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,36,P112,61,3,3,0.000039,0.000039,0.000039,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.097009,,0.097009,4,0,0,0,0,4,4,0,0,0,1.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0.999961,10.803458,,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,37,P131,184,16,12,0.317460,0.317460,0.317460,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.360908,0.360908,0.360908,96,37,0,0,0,96,68,14,14,0,0.708333,0.145833,0.145833,36,1,37,0.385417,0.385417,0.682540,11.522409,,,,,,,,,,,,,"[0.2,0.4)",Q2
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,38,P749,76,5,1,0.500058,0.500058,0.500058,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.270798,0.270798,0.270798,33,5,0,0,0,33,9,9,15,0,0.272727,0.272727,0.454545,4,1,5,0.151515,0.151515,0.499942,9.828550,,,,,,,,,,,,,"[0.4,0.6)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,39,P361,151,8,12,0.426715,0.428560,0.428560,0.001845,0.432458,0.001845,0.000000,neutral,rule_only,True,False,0.348911,0.348793,0.348911,550,1605,0,0,0,550,50,449,51,0,0.090909,0.816364,0.092727,1100,505,1605,2.918182,2.918182,0.573285,10.809271,,,,,,,,,,,,,"[0.4,0.6)",Q4
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,40,P740,123,2,8,0.096999,0.096999,0.096999,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.375058,,0.375058,29,0,0,0,0,29,16,6,7,0,0.551724,0.206897,0.241379,0,0,0,0.000000,0.000000,0.903001,9.759682,,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,41,P2348,131,7,14,0.507185,0.507185,0.507185,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.432014,0.432014,0.432014,126,1,0,0,0,126,22,68,36,0,0.174603,0.539683,0.285714,1,0,1,0.007937,0.007937,0.492815,9.509177,,,,,,,,,,,,,"[0.4,0.6)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,42,P138,51,4,2,0.166725,0.166725,0.166725,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.011393,,0.011393,32,0,0,0,0,32,24,6,2,0,0.750000,0.187500,0.062500,0,0,0,0.000000,0.000000,0.833275,9.203680,,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,43,P50,16,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.000059,,0.000059,14,0,0,0,0,14,3,5,6,0,0.214286,0.357143,0.428571,0,0,0,0.000000,0.000000,1.000000,9.028064,,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,44,P452,17,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.000000,,0.000000,10,0,0,0,0,10,3,1,6,0,0.300000,0.100000,0.600000,0,0,0,0.000000,0.000000,1.000000,9.190198,,,,,,,,,,,,,"[0.0,0.2)",Q1
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,45,P2283,9,3,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,False,False,0.666706,,0.666706,12,0,0,0,0,12,6,2,4,0,0.500000,0.166667,0.333333,0,0,0,0.000000,0.000000,1.000000,8.848075,,,,,,,,,,,,,"[0.0,0.2)",Q1
WN18RR,structural_rd,0,_hypernym,34796,1174,1251,0.184215,0.186728,0.187550,0.003335,1.810387,0.002513,0.000822,neutral,dependency,True,True,0.180671,0.180793,0.180793,8876,451,0,0,0,8876,2422,3883,2552,19,0.272871,0.437472,0.287517,346,105,451,0.050811,0.050811,0.815785,1285.301169,,,,,,,,,,,,,"[0.0,0.2)",Q1
WN18RR,structural_rd,1,_derivationally_related_form,29715,1078,1074,0.959727,0.959727,0.959727,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.948339,0.948339,0.948339,46349,34783,0,0,0,46349,3366,38068,4915,0,0.072623,0.821334,0.106043,23410,11373,34783,0.750458,0.750458,0.040273,597.719740,,,,,,,,,,,,,"[0.6,1.0]",Q2
WN18RR,structural_rd,2,_instance_hypernym,2921,107,122,0.364871,0.364871,0.364871,0.000000,0.000000,0.000000,0.000000,neutral,rule_only,True,False,0.299672,0.299672,0.299672,7445,1050,0,0,0,7445,273,6472,696,4,0.036669,0.869308,0.093486,983,67,1050,0.141034,0.141034,0.635129,53.322748,,,,,,,,,,,,,"[0.2,0.4)",Q1
WN18RR,structural_rd,3,_also_see,1299,41,56,0.660213,0.651104,0.651146,-0.009067,-1.373282,-0.009108,0.000041,negative,dependency,True,True,0.620847,0.634230,0.634230,2406,2618,0,0,0,2406,324,1001,1081,0,0.134663,0.416043,0.449293,1581,1037,2618,1.088113,1.088113,0.339787,39.866906,,,,,,,,,,,,,"[0.6,1.0]",Q3
WN18RR,structural_rd,4,_member_meronym,7402,273,253,0.321906,0.317931,0.328616,0.006711,2.084745,-0.003974,0.010685,neutral,dependency,True,True,0.333338,0.342928,0.342928,2129,591,0,0,0,2129,314,1269,545,1,0.147487,0.596054,0.255989,575,16,591,0.277595,0.277595,0.678094,250.119979,,,,,,,,,,,,,"[0.2,0.4)",Q2
WN18RR,structural_rd,5,_synset_domain_topic_of,3116,105,114,0.394953,0.396579,0.396579,0.001625,0.411538,0.001625,0.000000,neutral,rule_only,True,False,0.393422,0.390862,0.393422,2280,3897,0,0,0,2280,848,981,448,3,0.371930,0.430263,0.196491,3855,42,3897,1.709211,1.709211,0.605047,73.672234,,,,,,,,,,,,,"[0.2,0.4)",Q3
WN18RR,structural_rd,6,_has_part,4816,154,172,0.209144,0.205160,0.219265,0.010121,4.839075,-0.003984,0.014105,positive,dependency,True,True,0.255478,0.265968,0.265968,5002,1372,0,0,0,5002,606,2639,1757,0,0.121152,0.527589,0.351259,1308,64,1372,0.274290,0.274290,0.790856,138.221103,,,,,,,,,,,,,"[0.2,0.4)",Q2
WN18RR,structural_rd,7,_member_of_domain_usage,629,22,24,0.347316,0.347606,0.355021,0.007705,2.218481,0.000290,0.007415,neutral,dependency,True,True,0.394515,0.412102,0.412102,432,107,0,0,0,432,38,328,64,2,0.087963,0.759259,0.148148,102,5,107,0.247685,0.247685,0.652684,11.599660,,,,,,,,,,,,,"[0.2,0.4)",Q2
WN18RR,structural_rd,8,_member_of_domain_region,923,34,26,0.380717,0.375527,0.380648,-0.000069,-0.018041,-0.005190,0.005121,negative,dependency,True,True,0.249832,0.251115,0.251115,612,42,0,0,0,612,121,264,226,1,0.197712,0.431373,0.369281,32,10,42,0.068627,0.068627,0.619283,21.425887,,,,,,,,,,,,,"[0.2,0.4)",Q1
WN18RR,structural_rd,9,_verb_group,1138,43,39,0.974360,0.974360,0.974360,0.000000,0.000000,0.000000,0.000000,neutral,dependency,True,True,0.930871,0.931044,0.931044,1370,301,0,0,0,1370,467,599,304,0,0.340876,0.437226,0.221898,35,266,301,0.219708,0.219708,0.025640,38.072517,,,,,,,,,,,,,"[0.6,1.0]",Q2
