dataset,aggregation,type_grouping,typed_test_mrr,relation,relation_name,num_test_samples,selected_stage,dependency_weight_source,dominant_rule_type,dominant_rule_support,dominant_rule_weight,dominant_rule_abs_delta,dominant_rule_impact,dominant_dep_type,dominant_dep_support,dominant_dep_weight,dominant_dep_abs_delta,dominant_dep_impact,rule_weight_B,rule_support_B,rule_abs_delta_B,rule_impact_B,rule_weight_U,rule_support_U,rule_abs_delta_U,rule_impact_U,rule_weight_Uc,rule_support_Uc,rule_abs_delta_Uc,rule_impact_Uc,rule_weight_Ud,rule_support_Ud,rule_abs_delta_Ud,rule_impact_Ud,dep_weight_BB,dep_support_BB,dep_abs_delta_BB,dep_impact_BB,dep_weight_BU,dep_support_BU,dep_abs_delta_BU,dep_impact_BU,dep_weight_UU,dep_support_UU,dep_abs_delta_UU,dep_impact_UU,dep_weight_B_Uc,dep_support_B_Uc,dep_abs_delta_B_Uc,dep_impact_B_Uc,dep_weight_B_Ud,dep_support_B_Ud,dep_abs_delta_B_Ud,dep_impact_B_Ud,dep_weight_Uc_Uc,dep_support_Uc_Uc,dep_abs_delta_Uc_Uc,dep_impact_Uc_Uc,dep_weight_Uc_Ud,dep_support_Uc_Ud,dep_abs_delta_Uc_Ud,dep_impact_Uc_Ud,dep_weight_Ud_Ud,dep_support_Ud_Ud,dep_abs_delta_Ud_Ud,dep_impact_Ud_Ud,rule_order_ud_lt_b_lt_uc
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,24,/people/person/place_of_birth,170,rule_only,trial,U,1538.000000,2.354113,1.354113,3620.625640,UU,126.000000,1.000000,0.000000,126.000000,2.143881,460.000000,1.143881,986.185306,2.354113,1538.000000,1.354113,3620.625640,,,,,,,,,1.000000,10.000000,0.000000,10.000000,1.000000,12.000000,0.000000,12.000000,1.000000,126.000000,0.000000,126.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,25,/common/topic/webpage./common/webpage/category,402,rule_only,trial,U,3333.000000,1.000000,0.000000,3333.000000,BB,3513.000000,1.000000,0.000000,3513.000000,1.000000,2031.000000,0.000000,2031.000000,1.000000,3333.000000,0.000000,3333.000000,,,,,,,,,1.000000,3513.000000,0.000000,3513.000000,,,,,1.000000,1900.000000,0.000000,1900.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,26,/film/film/other_crew./film/film_crew_gig/film_crew_role,606,rule_only,trial,U,42733.000000,0.533957,0.466043,22817.567388,UU,19941.000000,1.000000,0.000000,19941.000000,0.638250,255.000000,0.361750,162.753801,0.533957,42733.000000,0.466043,22817.567388,,,,,,,,,1.000000,13793.000000,0.000000,13793.000000,1.000000,18296.000000,0.000000,18296.000000,1.000000,19941.000000,0.000000,19941.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,27,/award/award_ceremony/awards_presented./award/award_honor/award_winner,317,dependency,final,U,8462.000000,1.375139,0.375139,11636.421987,UU,16493.000000,1.024547,0.024547,16897.845424,0.986874,449.000000,0.013126,443.106291,1.375139,8462.000000,0.375139,11636.421987,,,,,,,,,1.027901,8286.000000,0.027901,8517.185200,1.014915,1038.000000,0.014915,1053.481978,1.024547,16493.000000,0.024547,16897.845424,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,28,/film/film/country,131,dependency,final,U,6614.000000,1.035537,0.035537,6849.043041,UU,8317.000000,1.011769,0.011769,8414.879446,0.673259,1792.000000,0.326741,1206.480845,1.035537,6614.000000,0.035537,6849.043041,,,,,,,,,1.000439,2481.000000,0.000439,2482.090151,1.027934,145.000000,0.027934,149.050488,1.011769,8317.000000,0.011769,8414.879446,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,29,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,258,rule_only,trial,U,47285.000000,0.450653,0.549347,21309.103462,UU,77774.000000,1.000000,0.000000,77774.000000,0.567516,291.000000,0.432484,165.147243,0.450653,47285.000000,0.549347,21309.103462,,,,,,,,,1.000000,18237.000000,0.000000,18237.000000,1.000000,21872.000000,0.000000,21872.000000,1.000000,77774.000000,0.000000,77774.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,30,/award/award_winning_work/awards_won./award/award_honor/award,118,dependency,final,U,19020.000000,1.102484,0.102484,20969.243778,UU,18611.000000,0.991844,0.008156,18459.216128,0.957675,721.000000,0.042325,690.483675,1.102484,19020.000000,0.102484,20969.243778,,,,,,,,,0.994958,16979.000000,0.005042,16893.395278,0.992761,5079.000000,0.007239,5042.235658,0.991844,18611.000000,0.008156,18459.216128,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,31,/film/film/genre,722,dependency,final,U,15225.000000,1.112833,0.112833,16942.882425,BB,22421.000000,0.970696,0.029304,21763.983984,0.770349,589.000000,0.229651,453.735443,1.112833,15225.000000,0.112833,16942.882425,,,,,,,,,0.970696,22421.000000,0.029304,21763.983984,0.986803,5762.000000,0.013197,5685.957157,0.984711,13923.000000,0.015289,13710.138214,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,32,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,160,rule_only,trial,U,5158.000000,1.482859,0.482859,7648.585175,BB,10273.000000,1.000000,0.000000,10273.000000,1.031762,663.000000,0.031762,684.058537,1.482859,5158.000000,0.482859,7648.585175,,,,,,,,,1.000000,10273.000000,0.000000,10273.000000,1.000000,302.000000,0.000000,302.000000,1.000000,5603.000000,0.000000,5603.000000,,,,,,,,,,,,,,,,,,,,,
FB15k-237,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,r2d3,0.355348,33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,46,rule_only,trial,B,393.000000,0.762261,0.237739,299.568455,BB,1860.000000,1.000000,0.000000,1860.000000,0.762261,393.000000,0.237739,299.568455,0.761379,92.000000,0.238621,70.046877,,,,,,,,,1.000000,1860.000000,0.000000,1860.000000,,,,,1.000000,80.000000,0.000000,80.000000,,,,,,,,,,,,,,,,,,,,,
