feature,sort_direction,macro_gain_pt,macro_delta_mrr,min_dataset_gain_pt,max_dataset_gain_pt,positive_dataset_count,coverage,rank
num_rule_nodes,desc,0.015914949366662805,0.006147080199036203,-0.00015938965142769934,0.03532726968512634,5,0.2,81
query_num_nodes,desc,0.015914949366662805,0.006147080199036203,-0.00015938965142769934,0.03532726968512634,5,0.2,82
rule_weight_mean,asc,0.015134387790590212,0.004270704268637714,0.0029099834244457057,0.036671233870292363,6,0.2,83
synergy_weight_top3_mean,asc,0.014614645282226927,0.0035938770091011457,0.0,0.032188785863657365,5,0.2,84
max_negative_dep,asc,0.014346167758152359,0.0035559809737272102,-0.001408816872925489,0.03416499152593455,4,0.2,85
avg_negative_dep,asc,0.013827812374828274,0.0034977615727764255,-0.0014010199843407234,0.03416499152593455,4,0.2,86
num_rule_nodes,asc,0.013716900142836183,0.004772838644901249,0.0050555139187229425,0.020291250618386103,6,0.2,87
query_num_nodes,asc,0.013716900142836183,0.004772838644901249,0.0050555139187229425,0.020291250618386103,6,0.2,88
synergy_weight_top10_sum,asc,0.013594539324562857,0.0035459788404273627,0.0,0.032188785863657365,5,0.2,89
sum_negative_dep,asc,0.013454310368525754,0.0034311198734903368,-0.001678640905679596,0.03416499152593455,4,0.2,90
max_rules_per_candidate,asc,0.013454224638959697,0.0046289090694863755,0.0034183914663572512,0.025008977504997976,6,0.2,91
unique_synergy_edges,asc,0.013109421918710784,0.0033434645134392954,0.0,0.032188785863657365,5,0.2,92
max_positive_dep,asc,0.013046244264500795,0.003241007832377398,-0.0010662336833501262,0.032807531494210895,4,0.2,93
synergy_weight_top3_sum,asc,0.013021213620572736,0.003250817602073084,0.0,0.032188785863657365,5,0.2,94
combo_low_rule_confidence,asc,0.01300590275320527,0.005828569451191701,0.0,0.02679188013866507,5,0.2,95
rule_weight_top1_sum,desc,0.01300255231383618,0.005824703023989547,0.0,0.026803078232274125,5,0.2,96
rule_weight_top1_mean,desc,0.01300255231383618,0.005824703023989547,0.0,0.026803078232274125,5,0.2,97
rule_weight_max,desc,0.01300255231383618,0.005824703023989547,0.0,0.026803078232274125,5,0.2,98
sum_positive_dep,asc,0.012861420390335407,0.003205962100387224,-9.879358179598619e-05,0.032807531494210895,4,0.2,99
synergy_weight_top5_sum,asc,0.012842773770747126,0.0032537862438517854,0.0,0.032188785863657365,5,0.2,100
avg_positive_dep,asc,0.01281404867117201,0.0032255803373957234,-0.0010151325124438948,0.032807531494210895,4,0.2,101
synergy_weight_top10_mean,asc,0.012766850126183912,0.003326713446747643,0.0,0.032188785863657365,5,0.2,102
combo_candidate_complexity,asc,0.012613095304106184,0.0042968953320585606,0.004084394373225386,0.025834672657784052,6,0.2,103
synergy_weight_mean,asc,0.012564806660079234,0.0033734414117520908,0.0,0.032188785863657365,5,0.2,104
synergy_weight_top5_mean,asc,0.01249748676506283,0.0032965486569420943,0.0,0.032188785863657365,5,0.2,105
synergy_weight_max,asc,0.012388712710580544,0.003246330270917891,0.0,0.032188785863657365,5,0.2,106
synergy_weight_top1_mean,asc,0.012388712710580544,0.003246330270917891,0.0,0.032188785863657365,5,0.2,107
synergy_weight_top1_sum,asc,0.012388712710580544,0.003246330270917891,0.0,0.032188785863657365,5,0.2,108
candidate_dep_coverage,asc,0.01230466216618479,0.003232669960511312,-0.0016018400511403907,0.02973020221456557,4,0.2,109
combo_dependency_activity,asc,0.011727190299816115,0.003050266357278744,-0.0005401923263393948,0.02973020221456557,4,0.2,110
avg_stage2_score,asc,0.011710719086732694,0.003939099795567921,-0.03215970477213548,0.04681954817424594,5,0.2,111
avg_rules_per_candidate,asc,0.011248549625278511,0.004437624590030997,0.0028240451727394866,0.02361705127217517,6,0.2,112
num_dependency_edges,asc,0.01006012161396815,0.0031568301938348226,-4.611625801587138e-05,0.03082649670358739,4,0.2,113
query_num_edges,asc,0.01006012161396815,0.0031568301938348226,-4.611625801587138e-05,0.03082649670358739,4,0.2,114
