feature,sort_direction,macro_gain_pt,macro_delta_mrr,min_dataset_gain_pt,max_dataset_gain_pt,positive_dataset_count,coverage,rank
unique_redundancy_edges,asc,0.016198464217090185,0.004318004923180001,0.0,0.0373820480307927,5,0.1,85
synergy_weight_max,asc,0.01607017974696323,0.004951343247180491,0.0,0.04314178296984772,5,0.1,86
synergy_weight_top1_mean,asc,0.01607017974696323,0.004951343247180491,0.0,0.04314178296984772,5,0.1,87
synergy_weight_top1_sum,asc,0.01607017974696323,0.004951343247180491,0.0,0.04314178296984772,5,0.1,88
redundancy_weight_mean,asc,0.015814171738589417,0.0042124411717591554,0.0,0.0373820480307927,5,0.1,89
redundancy_weight_top3_sum,asc,0.01570045373438896,0.004368366552107696,0.0,0.0373820480307927,5,0.1,90
max_candidate_dep_score,asc,0.015573468420680118,0.00864234092285567,-0.02374411674927379,0.04254734677344252,4,0.1,91
synergy_weight_top5_mean,asc,0.015470768887467753,0.00505590744347124,0.0,0.03721569078316156,5,0.1,92
redundancy_weight_top5_mean,asc,0.015212065775395836,0.004137703137866118,0.0,0.0373820480307927,5,0.1,93
redundancy_weight_top1_mean,asc,0.01513053673614595,0.0040607987046919385,0.0,0.0373820480307927,5,0.1,94
redundancy_weight_top1_sum,asc,0.01513053673614595,0.0040607987046919385,0.0,0.0373820480307927,5,0.1,95
redundancy_weight_max,asc,0.01513053673614595,0.0040607987046919385,0.0,0.0373820480307927,5,0.1,96
redundancy_weight_top3_mean,asc,0.015119881323553427,0.0039285236681421976,0.0,0.0373820480307927,5,0.1,97
avg_negative_dep,asc,0.015062636092195011,0.004325217101822714,0.0,0.04369767293929927,5,0.1,98
query_num_nodes,desc,0.014919480386489548,0.006066590754380675,-0.0008156511683609091,0.03851795592125251,5,0.1,99
num_rule_nodes,desc,0.014919480386489548,0.006066590754380675,-0.0008156511683609091,0.03851795592125251,5,0.1,100
sum_negative_dep,asc,0.014823774095579223,0.004347342248162235,0.0,0.04222172025856197,5,0.1,101
synergy_weight_mean,asc,0.014630364998982478,0.004728712543894083,0.0,0.038207814171749455,5,0.1,102
candidate_rule_coverage,asc,0.014061160948201831,0.004322959983507943,-0.002417270410404071,0.04189893122464161,4,0.1,103
candidate_rule_coverage,desc,0.014061160948201831,0.004322959983507943,-0.002417270410404071,0.04189893122464161,4,0.1,104
max_negative_dep,asc,0.013772184332022283,0.004136273749417159,0.0,0.036910036540513946,5,0.1,105
combo_dependency_activity,asc,0.013581500401335619,0.00405114614875741,-0.0019716318181819403,0.03978946022963137,4,0.1,106
candidate_dep_coverage,asc,0.013041178884427037,0.003994271498813688,-4.942220980008738e-05,0.03393036600613786,4,0.1,107
avg_stage1_score,asc,0.011886741432476478,0.002747132493366886,-0.00011408411252289419,0.0236806119193409,5,0.1,108
max_rules_per_candidate,asc,0.011871250074229067,0.0036641578320815347,0.0028372971270604896,0.01945801104202971,6,0.1,109
num_rule_nodes,asc,0.010513690147814078,0.0034383801800538377,0.0037804707394255566,0.02481590911590592,6,0.1,110
query_num_nodes,asc,0.010513690147814078,0.0034383801800538377,0.0037804707394255566,0.02481590911590592,6,0.1,111
combo_candidate_complexity,asc,0.009587385913142418,0.0032487419388882582,0.0009710856360558573,0.01844620741865821,6,0.1,112
num_dependency_edges,asc,0.009102779080048104,0.003650580065311012,-0.0009003481170094529,0.030649009409917882,4,0.1,113
query_num_edges,asc,0.009102779080048104,0.003650580065311012,-0.0009003481170094529,0.030649009409917882,4,0.1,114
avg_rules_per_candidate,asc,0.008354296545082166,0.0035516178429051046,0.0033742010621762297,0.013876986485073184,6,0.1,115
stage2_top_margin,desc,0.007680347802402269,0.006560395919944155,2.4301122095060634e-05,0.017896184779325086,6,0.1,116
num_candidates,asc,0.005525804283867212,0.0039758424308362445,-0.0004402842015260866,0.01952582208958442,5,0.1,117
stage1_top_margin,desc,0.005187188611316007,0.004252247833193112,-0.004181992107017307,0.01584432029422156,5,0.1,118
avg_stage2_score,asc,0.004935017252765479,0.0010137044211234157,-0.056710474153681356,0.04529907589343396,5,0.1,119
combo_dep_activity_x_uncertainty,asc,0.00430970243355359,0.0031130739661730336,0.0,0.008025525245298093,5,0.1,120
combo_stage1_uncertainty,asc,0.004110701447390323,0.002879541195600808,-0.014687054234793884,0.01656102243809121,4,0.1,121
combo_complex_dep_low_conf,asc,0.003780428937163516,0.003072957541728353,-0.0007405365717306767,0.009181532625918365,5,0.1,122
combo_complex_dep_low_conf,desc,0.08699904612069016,0.012109451060861046,0.016298898804218087,0.28651875911381586,6,0.2,1
num_candidates,desc,0.07928899126584203,0.009275309629776182,0.0031776243396632875,0.3165112921616582,6,0.2,2
combo_dep_activity_x_uncertainty,desc,0.06774568637635674,0.012287142733856326,0.016762956211381352,0.180599674523509,6,0.2,3
combo_candidate_complexity,desc,0.05905039820635849,0.009249872275216757,0.004242075386186039,0.2000027127205415,6,0.2,4
num_dependency_edges,desc,0.05447162496164896,0.0105528400942389,0.006349823606587979,0.140387924621598,6,0.2,5
query_num_edges,desc,0.05447162496164896,0.0105528400942389,0.006349823606587979,0.140387924621598,6,0.2,6
combo_dependency_activity,desc,0.05187633429669114,0.011153879447033901,0.005348394040323612,0.14198000145906597,6,0.2,7
unique_synergy_edges,desc,0.05143134292420515,0.01119623741693064,0.006082920759449717,0.1377903778405729,6,0.2,8
avg_stage1_score,desc,0.051106966177572044,0.008652020790108905,0.005361548066063593,0.18015782281315773,6,0.2,9
sum_positive_dep,desc,0.05075859692224579,0.010738734114428062,0.006757001706644283,0.1443392600069171,6,0.2,10
avg_positive_dep,desc,0.047913920767322295,0.01048249376373552,0.006757001706644283,0.13032875481534045,6,0.2,11
avg_rules_per_candidate,desc,0.04727840523610408,0.009158779313173005,0.001756408522483044,0.13732250950139413,6,0.2,12
sum_negative_dep,desc,0.045001883402502295,0.010418518754886287,0.0041293390750583026,0.10320147005677471,6,0.2,13
max_positive_dep,desc,0.04032513870519753,0.010181213072807255,0.006293320611762798,0.09544292717455849,6,0.2,14
max_negative_dep,desc,0.04007109471760647,0.009003853949646057,0.0041293390750583026,0.09609375240920937,6,0.2,15
avg_stage2_score,desc,0.03949907428992753,0.00698732751709111,0.005397635666579248,0.1223696424417191,6,0.2,16
rule_weight_mean,desc,0.03895179183468622,0.008415582538685346,0.008961593579219551,0.137425444370594,6,0.2,17
max_rules_per_candidate,desc,0.0386926623424572,0.008472651899500033,0.0003925679286038708,0.09656921339607427,6,0.2,18
stage2_top_margin,asc,0.03755576185740498,0.008421222277522114,0.009251494784124237,0.07076857243807222,6,0.2,19
avg_negative_dep,desc,0.036417783124691495,0.009670344345903506,0.0041293390750583026,0.0681849800118528,6,0.2,20
rule_weight_top10_sum,desc,0.0358926035691296,0.008357228470332934,0.0018467215523856328,0.12987198011551415,6,0.2,21
rule_weight_top10_mean,desc,0.03440127468185098,0.008514602225108081,0.0018419128593116785,0.11949563012069975,6,0.2,22
combo_stage1_uncertainty,desc,0.03425155265275041,0.0061043926991057275,0.01154781009421324,0.07782998714418676,6,0.2,23
candidate_dep_coverage,desc,0.033063136813043036,0.008828738997933775,0.007161581663379213,0.057770571258496384,6,0.2,24
combo_low_rule_confidence,desc,0.032556353722032104,0.005405639737969853,0.007231169956533057,0.08123567378610042,6,0.2,25
rule_weight_max,asc,0.03252866801930865,0.005401594248393933,0.007170130690305143,0.08114647950265552,6,0.2,26
rule_weight_top1_sum,asc,0.03252866801930865,0.005401594248393933,0.007170130690305143,0.08114647950265552,6,0.2,27
rule_weight_top1_mean,asc,0.03252866801930865,0.005401594248393933,0.007170130690305143,0.08114647950265552,6,0.2,28
avg_candidate_dep_score,asc,0.03169819991771591,0.009781826310912609,0.00020928662221475491,0.05415813501972444,6,0.2,29
max_stage1_score,asc,0.03162892506363146,0.006167381417764982,0.011473543485261528,0.0735459690807112,6,0.2,30
synergy_weight_top10_mean,desc,0.031104257597506863,0.010964159873673983,0.005866021304451685,0.05254205824366531,6,0.2,31
synergy_weight_top10_sum,desc,0.03106895975668626,0.010750025333936042,0.006331887936575242,0.05463235061700744,6,0.2,32
redundancy_weight_top1_sum,desc,0.030821780683916094,0.008875069290923548,0.0027577293234457567,0.08310280134908865,6,0.2,33
redundancy_weight_top1_mean,desc,0.030821780683916094,0.008875069290923548,0.0027577293234457567,0.08310280134908865,6,0.2,34
