dataset,feature,sort_direction,full_gain_pt,best_coverage_ge_20,best_n,best_threshold,best_mrr_stage1,best_mrr_stage2,best_delta_mrr,best_gain_pt,gain_lift_vs_full
FB15k-237,avg_rules_per_candidate,desc,0.010000388562618312,0.36,14695,86.32,0.2230737912187274,0.22658013139336167,0.003506340174634276,0.01571829731981489,0.005717908757196577
FB15k-237,max_stage2_score,asc,0.01000038856266805,0.4,16328,0.5401689942490492,0.2555342406107061,0.2594737991340188,0.003939558523312681,0.015416949657695467,0.005416561095027417
FB15k-237,max_stage1_score,asc,0.010000388562667828,0.4,16328,0.5445347465227289,0.25675154573315684,0.2605100599660541,0.0037585142328972476,0.0146387209555634,0.004638332392895572
FB15k-237,s1_top1,asc,0.010000388562667828,0.4,16328,0.5445347465227289,0.25675154573315684,0.2605100599660541,0.0037585142328972476,0.0146387209555634,0.004638332392895572
FB15k-237,candidate_rule_coverage,asc,0.010000388562633855,0.2,8164,1.0,0.3048065387930997,0.30906861791098605,0.0042620791178863415,0.01398289923425633,0.0039825106716224745
FB15k-237,effective_candidates,desc,0.010000388562646068,0.26,10613,102.81877089826054,0.16423831868596844,0.16648675208236413,0.002248433396395688,0.013690065840815224,0.0036896772781691567
FB15k-237,s1_entropy,desc,0.010000388562646068,0.26,10613,4.632967932638973,0.16423831868596844,0.16648675208236413,0.002248433396395688,0.013690065840815224,0.0036896772781691567
FB15k-237,max_rules_per_candidate,desc,0.010000388562606988,0.2,8164,200.0,0.22956093555839108,0.23261474213583533,0.0030538065774442513,0.013302814653617157,0.003302426091010169
FB15k-237,rule_weight_top10_mean,asc,0.010000388562668494,0.46,18777,0.753985167715412,0.2875411454181073,0.2913382444040091,0.003797098985901748,0.01320541093477412,0.003205022372105626
FB15k-237,rule_weight_top10_sum,asc,0.010000388562668272,0.46,18777,7.5377180237638015,0.2877154479928512,0.291513749477899,0.0037983014850477836,0.01320159036139823,0.003201201798729958
FB15k-237,rule_weight_top5_mean,asc,0.010000388562667384,0.4,16328,0.7173970292865193,0.26838409000543884,0.27186275727078035,0.0034786672653415174,0.012961525645097005,0.0029611370824296213
FB15k-237,rule_weight_top5_sum,asc,0.010000388562667162,0.4,16328,3.5869424269076307,0.26862263620209964,0.2721012911830118,0.0034786549809121547,0.012949969630612124,0.002949581067944962
FB15k-237,rule_weight_top3_mean,asc,0.010000388562670048,0.42,17144,0.7985076962177717,0.26689923046906355,0.2703430180296015,0.0034437875605379253,0.01290295050489898,0.0029025619422289317
FB15k-237,rule_weight_top3_sum,asc,0.010000388562670048,0.42,17144,2.395523088653315,0.2668992304690635,0.2703430180296015,0.003443787560537981,0.01290295050489898,0.0029025619422289317
FB15k-237,topk_rule_weight,asc,0.010000388562670048,0.42,17144,0.7985076962177717,0.26689923046906355,0.2703430180296015,0.0034437875605379253,0.01290295050489898,0.0029025619422289317
FB15k-237,rule_weight_max,asc,0.010000388562663609,0.38,15511,0.78845736036427,0.2541951342167527,0.2574724549855159,0.0032773207687631922,0.012892932741854102,0.0028925441791904927
