dataset,relation,experiment,group,source_dir,valid_source,test_source,valid_mrr,valid_h@1,valid_h@10,test_mrr,test_h@1,test_h@10,num_test_samples
WN18RR,10,R,baseline,structural_none,best_valid_stage1,test_after_stage1,1.00000,1.00000,1.00000,1.00000,1.00000,1.00000,3
FB15k-237,0,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.44098,0.30357,0.62500,0.49767,0.39535,0.68605,43
FB15k-237,1,redundancy,stage2,redundancy,best_valid_stage2,test_after_stage2,0.12067,0.09524,0.19841,0.08903,0.04396,0.19780,91
FB15k-237,2,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.34035,0.24528,0.51887,0.36285,0.27016,0.53226,124
FB15k-237,3,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.36459,0.14815,0.77778,0.29150,0.10976,0.65854,41
FB15k-237,4,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.45007,0.40000,0.50000,0.37546,0.20833,0.50000,12
FB15k-237,5,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.47922,0.43750,0.56250,0.43556,0.35000,0.55000,10
FB15k-237,6,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.07243,0.04126,0.13706,0.07838,0.04426,0.14294,836
FB15k-237,7,synergy,stage2,synergy,best_valid_stage2,test_after_stage2,0.22322,0.11662,0.45576,0.22864,0.12238,0.46154,858
FB15k-237,8,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.28143,0.09840,0.72606,0.31111,0.10514,0.82710,214
FB15k-237,9,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.16809,0.09375,0.31250,0.13246,0.01250,0.42500,40
FB15k-237,10,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.84488,0.77032,0.97527,0.83894,0.75542,0.98142,323
FB15k-237,11,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.51187,0.49383,0.53704,0.50596,0.48734,0.52532,158
FB15k-237,12,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.20120,0.10417,0.43750,0.27317,0.16667,0.56250,24
FB15k-237,13,R2,baseline,structural_r2d3,best_valid_stage1,test_after_stage1,0.37067,0.23819,0.64699,0.37990,0.24741,0.64547,1447
FB15k-237,14,R2,baseline,structural_r2d3,best_valid_stage1,test_after_stage1,0.49218,0.44606,0.57676,0.52291,0.45541,0.63217,314
FB15k-237,15,R2,baseline,structural_r2d3,best_valid_stage1,test_after_stage1,0.45157,0.36799,0.60396,0.43477,0.35000,0.60000,330
FB15k-237,16,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.64654,0.58333,0.70833,0.48882,0.42857,0.64286,7
FB15k-237,17,redundancy,stage2,redundancy,best_valid_stage2,test_after_stage2,0.39449,0.31528,0.53819,0.40379,0.31922,0.55835,1311
FB15k-237,18,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.61057,0.51429,0.80000,0.61550,0.50833,0.83333,60
FB15k-237,19,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.22275,0.11790,0.46131,0.21938,0.11340,0.46157,1067
FB15k-237,20,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.25996,0.17712,0.42203,0.26455,0.17771,0.44880,664
FB15k-237,21,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.17194,0.09270,0.34551,0.14424,0.06809,0.29362,235
FB15k-237,22,r2d3,stage2,structural_r2d3,best_valid_stage2,test_after_stage2,0.13008,0.07914,0.24281,0.10897,0.05949,0.21704,311
FB15k-237,23,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.59729,0.50000,0.80952,0.54183,0.42188,0.78125,96
FB15k-237,24,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.12854,0.07095,0.23986,0.13212,0.07353,0.25588,170
FB15k-237,25,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.50282,0.49429,0.53143,0.49502,0.48632,0.51866,402
FB15k-237,26,R3,baseline,structural_r3d6,best_valid_stage1,test_after_stage1,0.41393,0.33240,0.57210,0.39064,0.30611,0.54703,606
FB15k-237,27,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.38693,0.28328,0.60410,0.37407,0.26183,0.59779,317
FB15k-237,28,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.41645,0.34815,0.53704,0.41791,0.35496,0.55344,131
FB15k-237,29,R2,baseline,structural_r2d3,best_valid_stage1,test_after_stage1,0.48975,0.35684,0.79274,0.41295,0.29651,0.69961,258
FB15k-237,30,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.28562,0.17130,0.52778,0.21042,0.12288,0.41949,118
FB15k-237,31,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.32650,0.23445,0.50835,0.31114,0.21884,0.49723,722
FB15k-237,32,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.27542,0.19863,0.42808,0.27638,0.18750,0.45000,160
FB15k-237,33,R2,baseline,structural_r2d3,best_valid_stage1,test_after_stage1,0.54187,0.50000,0.60256,0.54240,0.50000,0.63043,46
FB15k-237,34,r2d3,stage2,structural_r2d3,best_valid_stage2,test_after_stage2,0.49617,0.45909,0.53182,0.51024,0.48675,0.52980,151
FB15k-237,35,r3d6,stage2,structural_r3d6,best_valid_stage2,test_after_stage2,0.90419,0.84959,0.99187,0.87431,0.80769,0.99145,117
FB15k-237,36,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.27632,0.16667,0.50000,0.10606,0.00000,0.50000,1
FB15k-237,37,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.59241,0.50588,0.75294,0.53248,0.45055,0.70879,91
FB15k-237,38,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.12890,0.08108,0.20946,0.17313,0.07955,0.34091,132
FB15k-237,39,r2d3,stage2,structural_r2d3,best_valid_stage2,test_after_stage2,0.18914,0.11475,0.34426,0.20227,0.14744,0.30769,78
FB15k-237,40,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.14325,0.05556,0.25000,0.16420,0.03125,0.43750,16
FB15k-237,41,sign_constraint_dependency,stage2,sign_constraint_dependency,best_valid_stage2,test_after_stage2,0.21869,0.13362,0.35776,0.22020,0.13158,0.39145,152
FB15k-237,42,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.25280,0.17647,0.40809,0.25368,0.16993,0.43464,153
FB15k-237,43,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.54741,0.52122,0.57958,0.56943,0.53326,0.61353,436
FB15k-237,44,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.32050,0.19792,0.55208,0.26717,0.15294,0.48824,85
FB15k-237,45,r3d6,stage2,structural_r3d6,best_valid_stage2,test_after_stage2,0.08052,0.06667,0.10000,0.06306,0.03125,0.12500,32
FB15k-237,46,rd,stage2,structural_rd,best_valid_stage2,test_after_stage2,0.40563,0.31818,0.63636,0.34168,0.24390,0.59756,41
FB15k-237,47,synergy,stage2,synergy,best_valid_stage2,test_after_stage2,0.20494,0.11667,0.39444,0.17945,0.09677,0.37558,217
FB15k-237,48,synergy,stage2,synergy,best_valid_stage2,test_after_stage2,0.51233,0.45567,0.61084,0.51268,0.45142,0.63968,494
FB15k-237,49,r2d3,stage2,structural_r2d3,best_valid_stage2,test_after_stage2,0.58333,0.35714,1.00000,0.64444,0.50000,1.00000,3
FB15k-237,50,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.17690,0.10156,0.32031,0.17100,0.10638,0.28191,94
FB15k-237,51,init_dep_with_lift,stage2,init_dep_with_lift,best_valid_stage2,test_after_stage2,0.65122,0.58621,0.77586,0.67108,0.64583,0.68750,24
FB15k-237,52,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.22285,0.10526,0.42763,0.21080,0.09794,0.43299,97
FB15k-237,53,R,baseline,structural_none,best_valid_stage1,test_after_stage1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0
FB15k-237,54,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.16675,0.07143,0.28571,0.09764,0.04545,0.31818,11
FB15k-237,55,pos_auto_ratio,stage2,pos_auto_ratio,best_valid_stage2,test_after_stage2,0.47401,0.38889,0.55556,0.47345,0.36364,0.59091,11
