dataset,source_group,config_id,config_label,stage_or_source,label,status,mrr,h1,h10,completed_relations,total_relations,path
WN18RR,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage1,aggregation stage1,done,0.470921,0.430121,0.540523,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
WN18RR,aggregation,cfg_redundancy_only,redundancy only | auto_sqrt,stage2,aggregation stage2,done,0.470619,0.429962,0.541321,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_0_1_0
WN18RR,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage1,aggregation stage1,done,0.470921,0.430121,0.540523,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
WN18RR,aggregation,cfg_dep_sign,synergy + redundancy + dependency sign | auto_sqrt,stage2,aggregation stage2,done,0.470683,0.429802,0.541161,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_1_1_auto_sqrt_1_1_0
WN18RR,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage1,aggregation stage1,done,0.470921,0.430121,0.540523,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
WN18RR,aggregation,cfg_lift_init,synergy + redundancy + lift init | auto_sqrt,stage2,aggregation stage2,done,0.470965,0.430121,0.541161,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_1
WN18RR,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage1,aggregation stage1,done,0.470549,0.429483,0.541481,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_ratio_1_1_0
WN18RR,aggregation,cfg_auto_ratio,synergy + redundancy | auto_ratio,stage2,aggregation stage2,done,0.471935,0.430919,0.542757,11,11,data/WN18RR/aggregation/exp-1_LinearAggregator_1_0_1_auto_ratio_1_1_0
FB15k-237,application,,,app_rules_maxplus,rules + maxplus,done,0.329486,0.244747,0.502614,,,data/FB15k-237/application/eval-maxplus.log
FB15k-237,application,,,app_rules_noisyor,rules + noisyor,done,0.337685,0.252468,0.506743,,,data/FB15k-237/application/eval-noisyor.log
FB15k-237,application,,,app_base_ranker_maxplus,base ranker + maxplus,done,0.324158,0.240154,0.494723,,,data/FB15k-237/application/eval_base_ranker_maxplus.log
FB15k-237,application,,,app_base_ranker_noisyor,base ranker + noisyor,done,0.327127,0.244454,0.490032,,,data/FB15k-237/application/eval_base_ranker_noisyor.log
FB15k-237,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage1,aggregation stage1,done,0.344251,0.257842,0.516271,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
FB15k-237,aggregation,cfg_synergy_redundancy,synergy + redundancy | auto_sqrt,stage2,aggregation stage2,done,0.347334,0.262655,0.514927,237,237,data/FB15k-237/aggregation/exp-1_LinearAggregator_1_0_1_auto_sqrt_1_1_0
