dataset,experiment,group,source_dir,metric_source,mrr,h@1,h@10,mrr_raw,h@1_raw,h@10_raw,time_train,time_valid,time_total,time_load_dataloaders,time_other,time_sweep,num_relations,total_test_triples_used_for_weight
FB15k-237,pos_auto_ratio,stage2,pos_auto_ratio,test_after_stage2,0.35050,0.26280,0.52658,0.34381,0.25660,0.51334,524.28093,645.37622,2960.37607,181.34484,1609.37408,2032.79186,237,20466
codex-l,R,baseline,structural_rd,test_after_stage1,0.32948,0.26987,0.44412,0.32349,0.26310,0.43978,1285.46432,1021.41250,3512.41205,433.89047,771.64476,1858.88787,65,30620
codex-l,R2,baseline,structural_r2d3,test_after_stage1,0.32952,0.27038,0.44267,0.32517,0.26573,0.43888,36140.56204,4810.00746,43529.16658,384.30184,2194.29524,21861.21686,65,30620
codex-l,R3,baseline,structural_r3d6,test_after_stage1,0.33011,0.27087,0.44337,0.32591,0.26638,0.43973,35334.92110,4791.00607,42887.28314,379.77860,2381.57736,21540.43161,65,30620
codex-l,rd,stage2,structural_rd,test_after_stage2,0.33268,0.27280,0.44703,0.32968,0.26997,0.44335,1285.46432,1021.41250,3512.41205,433.89047,771.64476,1858.88787,65,30620
codex-l,r2d3,stage2,structural_r2d3,test_after_stage2,0.33202,0.27286,0.44505,0.32868,0.26982,0.44118,36140.56204,4810.00746,43529.16658,384.30184,2194.29524,21861.21686,65,30620
codex-l,r3d6,stage2,structural_r3d6,test_after_stage2,0.33231,0.27283,0.44535,0.32899,0.26994,0.44135,35334.92110,4791.00607,42887.28314,379.77860,2381.57736,21540.43161,65,30620
codex-l,synergy,stage2,synergy,test_after_stage2,0.33241,0.27247,0.44665,0.32880,0.26888,0.44335,1235.24678,1294.70742,4026.98247,511.97681,985.05146,2132.66543,65,30620
codex-l,redundancy,stage2,redundancy,test_after_stage2,0.33221,0.27250,0.44595,0.32938,0.26991,0.44203,1272.31852,1647.04711,4750.36875,585.59935,1245.40377,2496.74420,65,30620
codex-l,sign_constraint_dependency,stage2,sign_constraint_dependency,test_after_stage2,0.33120,0.27133,0.44468,0.32294,0.26421,0.43439,1508.68998,1787.64459,5235.14138,564.77392,1374.03287,2733.02465,65,30620
codex-l,init_dep_with_lift,stage2,init_dep_with_lift,test_after_stage2,0.33132,0.27116,0.44513,0.32145,0.26239,0.43472,1222.37638,1613.97828,4812.53136,566.73186,1409.44484,2530.74488,65,30620
codex-l,pos_auto_ratio,stage2,pos_auto_ratio,test_after_stage2,0.33043,0.26955,0.44662,0.32921,0.26834,0.44489,1296.11704,1681.52765,4967.00865,570.17832,1419.18564,2603.01689,65,30620
YAGO3-10,R,baseline,structural_rd,test_after_stage1,0.57289,0.50030,0.70280,0.56401,0.48890,0.69770,1545.85483,300.27625,14308.97719,342.39300,12120.45311,8913.50246,37,5000
YAGO3-10,R2,baseline,structural_r2d3,test_after_stage1,0.57436,0.50280,0.70220,0.56834,0.49580,0.69860,2442.14062,387.49189,15607.35021,342.79753,12434.92016,9313.15451,37,5000
YAGO3-10,R3,baseline,structural_r3d6,test_after_stage1,0.55512,0.48180,0.69210,0.54433,0.46680,0.68600,2380.76615,381.90065,15539.40247,340.80267,12435.93301,9288.80990,37,5000
YAGO3-10,rd,stage2,structural_rd,test_after_stage2,0.57550,0.50290,0.70580,0.56718,0.49280,0.69960,1545.85483,300.27625,14308.97719,342.39300,12120.45311,8913.50246,37,5000
YAGO3-10,r2d3,stage2,structural_r2d3,test_after_stage2,0.57672,0.50370,0.70570,0.57054,0.49660,0.70100,2442.14062,387.49189,15607.35021,342.79753,12434.92016,9313.15451,37,5000
YAGO3-10,r3d6,stage2,structural_r3d6,test_after_stage2,0.56252,0.48800,0.69770,0.55144,0.47410,0.69140,2380.76615,381.90065,15539.40247,340.80267,12435.93301,9288.80990,37,5000
YAGO3-10,synergy,stage2,synergy,test_after_stage2,0.57578,0.50350,0.70550,0.56604,0.49140,0.69830,1444.09384,343.97228,4002.35215,385.91785,1828.36818,2119.96113,37,5000
YAGO3-10,redundancy,stage2,redundancy,test_after_stage2,0.57403,0.50150,0.70390,0.56576,0.49030,0.69960,1257.32151,310.20527,10049.22119,371.25246,8110.44196,7038.88416,37,5000
YAGO3-10,sign_constraint_dependency,stage2,sign_constraint_dependency,test_after_stage2,0.57197,0.50000,0.70220,0.56389,0.48970,0.69760,1587.46393,401.14403,13610.14910,364.91263,11256.62851,8535.39893,37,5000
YAGO3-10,init_dep_with_lift,stage2,init_dep_with_lift,test_after_stage2,0.56901,0.49630,0.70090,0.56009,0.48480,0.69380,1602.08191,380.20907,13686.08263,408.16463,11295.62703,8526.32222,37,5000
YAGO3-10,pos_auto_ratio,stage2,pos_auto_ratio,test_after_stage2,0.57299,0.49950,0.70610,0.56433,0.48840,0.70160,1028.90943,239.58425,8600.67922,306.84649,7025.33905,5177.16115,37,5000
