dataset,aggregation,MRR,h@1,h@10,time
codex-m,tg_rd__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,0.341639,0.269760,0.477839,3655.159330
codex-m,tg_rd__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,0.341324,0.269857,0.479682,3294.985968
codex-m,tg_rd__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.341677,0.270876,0.479682,3339.590449
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_none__dl1_0,0.342537,0.271215,0.477985,3568.908126
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,0.343495,0.273155,0.477015,3651.950880
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,0.344695,0.275386,0.477597,3393.357663
codex-m,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.344803,0.275725,0.479003,3484.306493
codex-m,tg_rd__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,0.340044,0.267190,0.477985,2787.291053
codex-m,tg_rd__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.340936,0.269130,0.476772,3201.474804
codex-m,tg_rd__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,0.342533,0.272621,0.478130,2911.811265
codex-m,tg_rd__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.342865,0.273349,0.478033,2931.850053
WN18RR,canonical,0.499500,0.456126,0.583918,6391.193000
WN18RR,dep_scale_surprisal_init,0.499377,0.454850,0.583440,1276.199989
WN18RR,ensemble_best_test,0.503990,0.462029,0.585673,2245.963381
WN18RR,ensemble_best_valid,0.500511,0.456445,0.585673,2539.321958
WN18RR,eval-maxplus,0.496968,0.457722,0.574027,2.625355
WN18RR,eval-noisyor,0.459271,0.406669,0.567326,2.461360
WN18RR,init_dep_with_lift,0.500869,0.457403,0.584397,2133.512822
WN18RR,pos_auto_ratio,0.499556,0.455329,0.583440,1939.195525
WN18RR,redundancy,0.499462,0.455329,0.585035,2115.228408
WN18RR,sign_constraint_dependency,0.499512,0.455169,0.585673,2066.117358
WN18RR,structural_dep_scale,0.499873,0.455010,0.585833,2342.827978
WN18RR,structural_none,0.500535,0.457243,0.583599,2700.819594
WN18RR,structural_none__stage1,0.499158,0.455169,0.584078,2700.819594
WN18RR,structural_none_lift_k1,0.500219,0.456605,0.583280,2279.539734
WN18RR,structural_none_lift_k4,0.500230,0.456605,0.583440,2218.483329
WN18RR,structural_none_mix_k1,0.500253,0.456605,0.583440,2223.784477
WN18RR,structural_none_mix_k2,0.500236,0.456605,0.583280,2223.074110
WN18RR,structural_none_mix_k4,0.500226,0.456605,0.583440,2224.447450
WN18RR,structural_none_ratio_k1,0.500658,0.457084,0.584078,2223.288769
WN18RR,structural_none_ratio_k2,0.500319,0.456605,0.583759,2243.767143
WN18RR,structural_none_ratio_k4,0.500230,0.456605,0.583440,2279.858264
WN18RR,structural_r2d3,0.499230,0.456445,0.580728,2770.886662
WN18RR,structural_r2d3__stage1,0.498380,0.456286,0.580568,2770.886662
WN18RR,structural_r3d6,0.499178,0.456445,0.581844,2572.872592
WN18RR,structural_r3d6__stage1,0.498278,0.455967,0.581525,2572.872592
WN18RR,structural_rd,0.502189,0.459636,0.583918,2511.770580
WN18RR,structural_rd__stage1,0.499477,0.456924,0.583599,2511.770580
WN18RR,structural_rule_mask,0.500666,0.457722,0.584237,2426.087277
WN18RR,structural_surprisal_init,0.500205,0.456924,0.582482,2383.281735
WN18RR,synergy,0.499568,0.455807,0.583121,2556.211140
WN18RR,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_0,0.498537,0.455329,0.580568,1941.606110
WN18RR,tg_r2d3__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0.499261,0.456445,0.581685,1888.249206
WN18RR,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,0.498996,0.455488,0.583121,1878.543042
WN18RR,tg_r2d3__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.499076,0.455010,0.582004,2012.104718
WN18RR,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,0.499162,0.456286,0.581525,1948.353351
WN18RR,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,0.499414,0.456286,0.582163,1921.440286
WN18RR,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,0.499075,0.455648,0.583918,1842.052511
WN18RR,tg_r2d3__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.499860,0.456286,0.584397,1938.042820
WN18RR,tg_r2d3__pos_auto_sqrt__ri_conf__dn_none__dl1_0,0.499082,0.456445,0.580887,2613.985269
WN18RR,tg_r2d3__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,0.500406,0.458200,0.582163,2527.741953
WN18RR,tg_r2d3__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,0.499832,0.456445,0.582642,2486.715206
WN18RR,tg_r2d3__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.498893,0.455967,0.581366,2499.856342
WN18RR,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,0.500354,0.457881,0.580089,2565.386690
WN18RR,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.501341,0.459636,0.581525,2675.820827
WN18RR,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,0.499574,0.456286,0.582961,2595.924888
WN18RR,tg_r2d3__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.500298,0.456445,0.583121,2524.656527
WN18RR,tg_r3d6__pos_auto_ratio__ri_conf__dn_none__dl1_0,0.498859,0.455967,0.580568,1967.174892
WN18RR,tg_r3d6__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0.499129,0.456126,0.581047,1941.263534
WN18RR,tg_r3d6__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,0.499588,0.456445,0.583759,1874.625436
WN18RR,tg_r3d6__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.499595,0.455967,0.583121,2021.913387
WN18RR,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,0.499591,0.456765,0.582163,2023.671471
WN18RR,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,0.498912,0.455488,0.581047,1984.681822
WN18RR,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,0.499545,0.456286,0.584237,1946.823840
WN18RR,tg_r3d6__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.499333,0.455648,0.583918,2001.184906
WN18RR,tg_r3d6__pos_auto_sqrt__ri_conf__dn_none__dl1_0,0.499926,0.457243,0.581685,2663.697902
WN18RR,tg_r3d6__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,0.500668,0.458200,0.582482,2826.876763
WN18RR,tg_r3d6__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,0.499884,0.456605,0.581685,2696.224070
WN18RR,tg_r3d6__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.499494,0.456605,0.580728,2783.047923
WN18RR,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,0.498461,0.455648,0.580728,2372.907553
WN18RR,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.500224,0.457881,0.581525,2473.520331
WN18RR,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,0.498755,0.455807,0.582004,2324.303745
WN18RR,tg_r3d6__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.499791,0.457084,0.582163,2574.139152
WN18RR,tg_rd__pos_auto_ratio__ri_conf__dn_none__dl1_0,0.499666,0.456445,0.582802,2019.801987
WN18RR,tg_rd__pos_auto_ratio__ri_conf__dn_none__dl1_1e-5,0.500104,0.457562,0.581366,2081.560055
WN18RR,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_0,0.498843,0.455329,0.583918,2002.952226
WN18RR,tg_rd__pos_auto_ratio__ri_conf__dn_per_rule_degree__dl1_1e-5,0.499624,0.456286,0.585514,2023.880769
WN18RR,tg_rd__pos_auto_ratio__ri_surprisal__dn_none__dl1_0,0.499772,0.456445,0.581844,1906.007772
WN18RR,tg_rd__pos_auto_ratio__ri_surprisal__dn_none__dl1_1e-5,0.499671,0.456445,0.583440,1864.310322
WN18RR,tg_rd__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_0,0.498999,0.455488,0.583599,1865.051226
WN18RR,tg_rd__pos_auto_ratio__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.498965,0.455488,0.584397,1902.671153
WN18RR,tg_rd__pos_auto_sqrt__ri_conf__dn_none__dl1_0,0.502189,0.459636,0.583918,2792.257322
WN18RR,tg_rd__pos_auto_sqrt__ri_conf__dn_none__dl1_1e-5,0.501281,0.458679,0.583121,2747.404536
WN18RR,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_0,0.500685,0.457403,0.583280,2718.181467
WN18RR,tg_rd__pos_auto_sqrt__ri_conf__dn_per_rule_degree__dl1_1e-5,0.500191,0.456605,0.583280,2801.536191
WN18RR,tg_rd__pos_auto_sqrt__ri_surprisal__dn_none__dl1_0,0.500265,0.457403,0.582642,2744.554498
WN18RR,tg_rd__pos_auto_sqrt__ri_surprisal__dn_none__dl1_1e-5,0.500021,0.457243,0.583599,2716.906816
WN18RR,tg_rd__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_0,0.501651,0.459477,0.585195,2636.642660
WN18RR,tg_rd__pos_auto_sqrt__ri_surprisal__dn_per_rule_degree__dl1_1e-5,0.500016,0.456924,0.583280,2679.163398
FB15k-237,canonical,0.353919,0.267102,0.529757,15532.391000
FB15k-237,dep_scale_surprisal_init,0.349500,0.262606,0.521352,10202.442165
FB15k-237,ensemble_best_test,0.362664,0.277411,0.533592,12954.849995
FB15k-237,ensemble_best_valid,0.357476,0.271084,0.530465,13773.003684
FB15k-237,eval-maxplus,0.329486,0.244747,0.502614,19.146405
FB15k-237,eval-noisyor,0.337685,0.252468,0.506743,19.078532
FB15k-237,init_dep_with_lift,0.330619,0.246409,0.495431,10953.738655
FB15k-237,pos_auto_ratio,0.350906,0.263241,0.528608,10920.022949
FB15k-237,redundancy,0.347210,0.261165,0.518372,10152.207723
FB15k-237,sign_constraint_dependency,0.334086,0.250831,0.500195,11113.736928
FB15k-237,structural_dep_scale,0.349468,0.263046,0.521328,11436.896805
FB15k-237,structural_none,0.348228,0.262215,0.518103,10881.643523
FB15k-237,structural_none__stage1,0.345429,0.259210,0.517981,10881.643523
FB15k-237,structural_none_lift_k1,0.348303,0.262118,0.518983,10075.601971
FB15k-237,structural_none_lift_k4,0.348145,0.262631,0.516369,11557.597384
FB15k-237,structural_none_mix_k1,0.348040,0.262240,0.518421,9958.712794
FB15k-237,structural_none_mix_k2,0.348129,0.262264,0.517663,10869.957332
FB15k-237,structural_none_mix_k4,0.347900,0.261898,0.517175,11792.050952
FB15k-237,structural_none_ratio_k1,0.346839,0.260969,0.517468,9916.048107
FB15k-237,structural_none_ratio_k2,0.348507,0.262313,0.518616,10821.623357
FB15k-237,structural_none_ratio_k4,0.347830,0.261947,0.516808,11869.630398
FB15k-237,structural_r2d3,0.351555,0.266393,0.520766,11723.998487
FB15k-237,structural_r2d3__stage1,0.350036,0.263926,0.523527,11723.998487
FB15k-237,structural_r3d6,0.351437,0.265733,0.521035,11512.363663
FB15k-237,structural_r3d6__stage1,0.349652,0.263266,0.522574,11512.363663
FB15k-237,structural_rd,0.344174,0.257525,0.515220,11056.629945
FB15k-237,structural_rd__stage1,0.350534,0.264097,0.523942,11056.629945
FB15k-237,structural_rule_mask,0.347743,0.261067,0.519936,10856.872017
FB15k-237,structural_surprisal_init,0.348360,0.262386,0.518861,11006.098257
FB15k-237,synergy,0.348182,0.262142,0.520497,9431.314043
