dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
codex-l,balanced5_rf,0.24,14671,0.34567245571102423,0.3698019487223311,0.06980450022167428
codex-l,balanced5_rf,0.26,15894,0.34692287028779567,0.3693504998155901,0.06464730765426108
codex-l,balanced5_rf,0.28,17116,0.3514456806096541,0.3726461380164384,0.06032356798355809
codex-l,balanced5_rf,0.3,18339,0.355579632650717,0.37558764443317144,0.05626872279860895
codex-l,balanced5_rf,0.32,19561,0.3562422069342867,0.3753733106190375,0.053702518433700774
codex-l,balanced5_rf,0.34,20784,0.35178977099519226,0.3698508136737585,0.0513404429795461
codex-l,balanced5_rf,0.36,22006,0.3429143919629744,0.3600335841959421,0.049922641435288906
codex-l,balanced5_rf,0.38,23229,0.3367729683577645,0.3530235566922762,0.048253838227444
codex-l,balanced5_rf,0.4,24452,0.3315339543174502,0.34698602806076734,0.04660781661151203
codex-l,balanced5_rf,0.42,25674,0.32503227561222336,0.33995122335282313,0.0458998962872188
codex-l,balanced5_rf,0.44,26897,0.32292314160566,0.3371490864212924,0.044053655445370765
codex-l,balanced5_rf,0.46,28119,0.31898739392024883,0.3326448792710103,0.04281512564780532
codex-l,balanced5_rf,0.48,29342,0.31642331768072246,0.3294715476011502,0.04123662572046505
codex-l,balanced5_rf,0.5,30564,0.31458360798327406,0.3271502016950637,0.039946753082118036
codex-l,balanced5_rf,0.52,31787,0.3131131204340033,0.32515994081528,0.03847433912887044
codex-l,balanced5_rf,0.54,33010,0.3115821227978445,0.32327278123479086,0.037520311922810023
codex-l,balanced5_rf,0.56,34232,0.30658661911659696,0.31779360483172336,0.03655406014593332
codex-l,balanced5_rf,0.58,35455,0.3050576408394816,0.31597544618572276,0.03578931940926533
codex-l,balanced5_rf,0.6,36677,0.30130418930261227,0.3119434636110214,0.035310741390733424
codex-l,balanced5_rf,0.62,37900,0.30055092296897973,0.310900647076645,0.034435842037768394
codex-l,balanced5_rf,0.64,39123,0.3000869678379999,0.31016573467478925,0.03358615307223323
codex-l,balanced5_rf,0.66,40345,0.2993313098534071,0.30911992835192215,0.03270161916342418
codex-l,balanced5_rf,0.68,41568,0.300643104443656,0.31021722422232,0.0318454660597689
codex-l,balanced5_rf,0.7,42790,0.3046905781723916,0.31400885505340553,0.030582753614854852
codex-l,balanced5_rf,0.72,44013,0.3091444616004735,0.3182568384055343,0.029476112099453777
codex-l,balanced5_rf,0.74,45235,0.31209436924954037,0.3208776429031874,0.028143005831111845
codex-l,balanced5_rf,0.76,46458,0.3200818728559846,0.32863467478450165,0.02672066947185492
codex-l,balanced5_rf,0.78,47681,0.3255854042787794,0.33390805606108376,0.025562115724260703
codex-l,balanced5_rf,0.8,48903,0.3304987161548787,0.3385589877126996,0.02438820837671174
codex-l,balanced5_rf,0.82,50126,0.3385271333314003,0.3463819731081099,0.023202984349913747
codex-l,balanced5_rf,0.84,51348,0.3376105973345527,0.34510568007352876,0.022200377589299602
codex-l,balanced5_rf,0.86,52571,0.3347851306671704,0.3420211464300279,0.02161391023680559
codex-l,balanced5_rf,0.88,53794,0.33574043300565765,0.3427504497640655,0.020879274788716762
