dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
YAGO3-10,balanced1_syn_global_rf,0.74,7382,0.646069004368021,0.6701970843559534,0.03734597980216425
YAGO3-10,balanced1_syn_global_rf,0.76,7581,0.6360793186161983,0.659779234450607,0.037259371812258246
YAGO3-10,balanced1_syn_global_rf,0.78,7780,0.6271084712115716,0.6502633542422325,0.036923250272677066
YAGO3-10,balanced1_syn_global_rf,0.8,7980,0.6189808995222776,0.6417091215720049,0.03671877769939047
YAGO3-10,balanced1_syn_global_rf,0.82,8179,0.6130733110601955,0.6353231377997633,0.0362922775109733
YAGO3-10,balanced1_syn_global_rf,0.84,8379,0.6066877197534724,0.6284426759955543,0.03585857358530675
YAGO3-10,balanced1_syn_global_rf,0.86,8578,0.5983119294725373,0.6195614759503761,0.035515832847545115
YAGO3-10,balanced1_syn_global_rf,0.88,8778,0.5903261536718238,0.6111471115215326,0.03527026156676705
YAGO3-10,balanced1_syn_global_rf,0.9,8978,0.5839335621971792,0.6042906983081999,0.034862075806060044
YAGO3-10,balanced1_syn_global_rf,0.92,9177,0.5924109754174866,0.6123811582664289,0.03371001496869441
YAGO3-10,balanced1_syn_global_rf,0.94,9376,0.5855062239593184,0.6052485629933085,0.033718410199789606
YAGO3-10,balanced1_syn_global_rf,0.96,9576,0.5769299456785204,0.5962593006230331,0.03350381634598576
YAGO3-10,balanced1_syn_global_rf,0.98,9776,0.5676346207201378,0.5865685305962277,0.03335580527500093
YAGO3-10,balanced1_syn_global_rf,1.0,9975,0.5616723217905851,0.5802260659200453,0.033033039745151926
codex-l,balanced1_syn_global_rf,0.02,1223,0.40476265841927117,0.4247627162680072,0.049411815622623756
codex-l,balanced1_syn_global_rf,0.04,2445,0.41764280181312097,0.44026382264557734,0.05416355970760489
codex-l,balanced1_syn_global_rf,0.06,3668,0.40861753909776816,0.43064276645390154,0.05390181587595411
codex-l,balanced1_syn_global_rf,0.08,4890,0.42448522364396074,0.44634334423855926,0.0514932425844159
codex-l,balanced1_syn_global_rf,0.1,6113,0.43580692219487255,0.4553082878497613,0.044747718913396906
codex-l,balanced1_syn_global_rf,0.12,7335,0.45914411620247675,0.4759462908777072,0.03659455513488674
codex-l,balanced1_syn_global_rf,0.14,8558,0.4515932890528456,0.4668713603500372,0.03383148436336425
codex-l,balanced1_syn_global_rf,0.16,9781,0.4286374698016445,0.4433649609726034,0.03435885149698681
codex-l,balanced1_syn_global_rf,0.18,11003,0.4073524588418879,0.4213907524325391,0.03446227777920474
codex-l,balanced1_syn_global_rf,0.2,12226,0.40434262860862974,0.4177914677985473,0.033260997575734086
codex-l,balanced1_syn_global_rf,0.22,13448,0.3961061204854264,0.40880282669428963,0.03205379960628596
codex-l,balanced1_syn_global_rf,0.24,14671,0.3880834863258604,0.40000845627279374,0.03072784688632768
codex-l,balanced1_syn_global_rf,0.26,15894,0.37514889164779996,0.386199107526868,0.02945554718429566
codex-l,balanced1_syn_global_rf,0.28,17116,0.36629911653969155,0.3768952351435279,0.02892750248467557
codex-l,balanced1_syn_global_rf,0.3,18339,0.3669653150471393,0.37743787355414504,0.02853827889881222
codex-l,balanced1_syn_global_rf,0.32,19561,0.36463870619887867,0.3746951523547585,0.02757920644440559
