dataset,selector,coverage,n,mrr_stage1,mrr_stage2,gain_pt
FB15k-237,balanced2_syn_topk_global_rf,0.56,22859,0.35083667728203827,0.3570835998667869,0.01780578539605404
FB15k-237,balanced2_syn_topk_global_rf,0.58,23675,0.3460271100896683,0.3519777689492081,0.017197088569152363
FB15k-237,balanced2_syn_topk_global_rf,0.6,24491,0.34091856587991887,0.3467099452163022,0.016987573913540555
FB15k-237,balanced2_syn_topk_global_rf,0.62,25308,0.33845996731303335,0.34403446400119525,0.016470180306453086
FB15k-237,balanced2_syn_topk_global_rf,0.64,26124,0.34010666573936194,0.3455053213759162,0.015873419078153317
FB15k-237,balanced2_syn_topk_global_rf,0.66,26941,0.3438844543054524,0.3491014334152581,0.015170732623963845
FB15k-237,balanced2_syn_topk_global_rf,0.68,27757,0.34618302962904457,0.35123050141961093,0.014580355934763922
FB15k-237,balanced2_syn_topk_global_rf,0.7,28573,0.3467035804081171,0.3516059583689036,0.0141399692354367
FB15k-237,balanced2_syn_topk_global_rf,0.72,29390,0.3463606612080311,0.35113125290496355,0.01377348016455926
FB15k-237,balanced2_syn_topk_global_rf,0.74,30206,0.3456774418003313,0.35031920926715804,0.013428031180316102
FB15k-237,balanced2_syn_topk_global_rf,0.76,31022,0.34655753405027245,0.35108849121376146,0.013074184567667624
FB15k-237,balanced2_syn_topk_global_rf,0.78,31839,0.35068209030243186,0.35508617945018633,0.01255863720886441
FB15k-237,balanced2_syn_topk_global_rf,0.8,32655,0.35338883482368294,0.35768202197465904,0.012148621370899004
FB15k-237,balanced2_syn_topk_global_rf,0.82,33472,0.35542040463949687,0.3596037542437887,0.011770144734754462
FB15k-237,balanced2_syn_topk_global_rf,0.84,34288,0.35604359527750457,0.3601291446916295,0.011474857203766398
FB15k-237,balanced2_syn_topk_global_rf,0.86,35104,0.3571788057361869,0.3611705162324406,0.011175664491140047
FB15k-237,balanced2_syn_topk_global_rf,0.88,35921,0.35649008831019413,0.3603956166503974,0.0109555033036568
FB15k-237,balanced2_syn_topk_global_rf,0.9,36737,0.3547604197392403,0.35857958936465995,0.01076548964573587
FB15k-237,balanced2_syn_topk_global_rf,0.92,37553,0.35190845353300193,0.3556456133257966,0.010619693148247178
FB15k-237,balanced2_syn_topk_global_rf,0.94,38370,0.35284616281084197,0.3565046010075855,0.010368366110601102
FB15k-237,balanced2_syn_topk_global_rf,0.96,39186,0.35129838437210115,0.3548542521029477,0.010122072542981364
FB15k-237,balanced2_syn_topk_global_rf,0.98,40003,0.3518413085258286,0.3552547809348232,0.009701738614196875
FB15k-237,balanced2_syn_topk_global_rf,1.0,40819,0.35281198551723697,0.3560530550713822,0.009186393000208515
KG20C,balanced2_syn_topk_global_rf,0.02,149,0.21609382973869504,0.300407367413729,0.39017096312739485
KG20C,balanced2_syn_topk_global_rf,0.04,298,0.18946909186803818,0.26166618473068093,0.38104944796445595
KG20C,balanced2_syn_topk_global_rf,0.06,447,0.16334624464267156,0.22037246777885902,0.34911254471099284
KG20C,balanced2_syn_topk_global_rf,0.08,596,0.16805362495328455,0.2135449144779587,0.2706950804382815
KG20C,balanced2_syn_topk_global_rf,0.1,745,0.15961822053036326,0.19771046860560657,0.2386459888393333
KG20C,balanced2_syn_topk_global_rf,0.12,894,0.15404282157816823,0.18920806366968207,0.228282251202919
KG20C,balanced2_syn_topk_global_rf,0.14,1043,0.14787770179098017,0.17921856469992647,0.2119377196789647
KG20C,balanced2_syn_topk_global_rf,0.16,1192,0.14398800913777124,0.17384350381913038,0.20734708994269568
KG20C,balanced2_syn_topk_global_rf,0.18,1341,0.1446129916181323,0.1723274303467348,0.19164556668453248
KG20C,balanced2_syn_topk_global_rf,0.2,1490,0.14646550371161554,0.17233716151603976,0.17663994011425665
KG20C,balanced2_syn_topk_global_rf,0.22,1639,0.14793887046192955,0.17280699908588054,0.16809732659376042
KG20C,balanced2_syn_topk_global_rf,0.24,1788,0.15303131290046382,0.17743870658129424,0.15949280717931047
KG20C,balanced2_syn_topk_global_rf,0.26,1936,0.1503470571717187,0.1739931461257368,0.15727669964973612
KG20C,balanced2_syn_topk_global_rf,0.28,2085,0.151595255885136,0.17238592126289168,0.13714588399460736
KG20C,balanced2_syn_topk_global_rf,0.3,2234,0.1503025566239394,0.1699829508732974,0.1309385195529229
KG20C,balanced2_syn_topk_global_rf,0.32,2383,0.1475294054491812,0.16644430578422462,0.12821105241665842
KG20C,balanced2_syn_topk_global_rf,0.34,2532,0.14611227038385227,0.16420153828893314,0.12380389311286755
KG20C,balanced2_syn_topk_global_rf,0.36,2681,0.14848585790017116,0.16463367411840507,0.10874985972799034
KG20C,balanced2_syn_topk_global_rf,0.38,2830,0.1474510079810521,0.16293170952853606,0.1049887807445391
KG20C,balanced2_syn_topk_global_rf,0.4,2979,0.14771701661722475,0.16232299722116186,0.09887811802877944
KG20C,balanced2_syn_topk_global_rf,0.42,3128,0.14807274365754264,0.1624647554628728,0.09719555030745908
KG20C,balanced2_syn_topk_global_rf,0.44,3277,0.1498077697630559,0.16297327713510082,0.08788267386176418
KG20C,balanced2_syn_topk_global_rf,0.46,3426,0.14880370193278905,0.16179561820335456,0.08730909313286861
KG20C,balanced2_syn_topk_global_rf,0.48,3575,0.1516713656411322,0.16492999110147968,0.08741680016067477
