dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,42,500,20708500,8098,1458,23,0,23,0.000391047154550064,0.18004445542109163,0.01577503429355281
FB15k-237,43,500,20708500,51953,5574,111,0,111,0.0025087765893232247,0.1072892806960137,0.01991388589881593
FB15k-237,44,500,20708500,271422,98944,85,0,85,0.013106791897047106,0.36453935200536436,0.0008590717981888745
FB15k-237,45,500,20708500,272993,61477,87,79,8,0.01318265446555762,0.22519625045330832,0.0014151633944401972
FB15k-237,46,220,1750540,91439,36223,0,0,0,0.052234738994824455,0.39614387733899104,0.0
FB15k-237,47,500,20708500,5992,1412,2,0,2,0.0002893497839051597,0.2356475300400534,0.00141643059490085
FB15k-237,48,500,20708500,111165,13932,124,1,123,0.005368085568727817,0.12532721630009444,0.008900373241458513
FB15k-237,49,489,19368964,1028441,279295,165,0,165,0.0530973675205344,0.27157124229780805,0.0005907731967990834
FB15k-237,50,500,20708500,221179,54639,0,0,0,0.01068059009585436,0.24703520677822036,0.0
FB15k-237,51,421,12347930,3547920,1747367,403,88,315,0.28732913127949383,0.49250462242666126,0.00023063271768323425
FB15k-237,52,383,9290431,212695,47013,3,0,3,0.022893986296222427,0.22103481511083947,6.381213706847043e-05
FB15k-237,53,32,4960,2042,617,0,0,0,0.41169354838709676,0.302154750244858,0.0
FB15k-237,54,20,1140,593,249,0,0,0,0.5201754385964912,0.41989881956155145,0.0
FB15k-237,55,230,2001460,503296,223459,0,0,0,0.2514644309653953,0.44399120994404884,0.0
FB15k-237,56,127,333375,0,0,0,0,0,0.0,0.0,0.0
FB15k-237,57,500,20708500,15740,1392,8,0,8,0.0007600743655986672,0.08843710292249048,0.005747126436781609
FB15k-237,58,500,20708500,91157,33396,670,0,670,0.004401912258251443,0.36635694461204293,0.020062282908132712
FB15k-237,59,500,20708500,153746,57293,0,0,0,0.007424294371876283,0.3726470932577108,0.0
FB15k-237,60,500,20708500,3306476,783863,73,0,73,0.1596675761160876,0.2370690124470887,9.312851863144452e-05
FB15k-237,61,500,20708500,289852,122247,563,0,563,0.013996764613564479,0.42175662062017855,0.004605429990102007
FB15k-237,62,500,20708500,1208787,493590,145,109,36,0.058371538257237364,0.40833496720265855,0.0002937660811604773
FB15k-237,63,500,20708500,1996889,1004408,3242,1496,1746,0.09642847140063258,0.5029863953379482,0.003227771981107279
FB15k-237,64,500,20708500,44065,2773,0,0,0,0.002127870198227781,0.06292976285033473,0.0
FB15k-237,65,500,20708500,62837,9605,25,0,25,0.0030343578723712487,0.1528558015182138,0.0026028110359187923
FB15k-237,66,500,20708500,165126,37537,57,11,46,0.007973827172417123,0.22732337729975896,0.0015185017449449876
FB15k-237,67,174,862924,29408,15756,0,0,0,0.03407947860993552,0.5357725788900979,0.0
FB15k-237,68,500,20708500,116218,30947,64,0,64,0.0056120916531858895,0.26628405238431224,0.0020680518305490033
FB15k-237,69,500,20708500,4416,517,5,0,5,0.00021324576864572518,0.11707427536231885,0.009671179883945842
FB15k-237,70,500,20708500,688232,281451,41,0,41,0.033234275780476615,0.40894785479315116,0.00014567366966185944
FB15k-237,71,500,20708500,111582,23492,7,3,4,0.005388222227587705,0.21053574949364592,0.0002979737783075089
FB15k-237,72,500,20708500,8800,1232,6,0,6,0.0004249462780983654,0.14,0.00487012987012987
FB15k-237,73,500,20708500,635968,206031,9,0,9,0.030710481203370596,0.32396441330381404,4.368274677111697e-05
FB15k-237,74,500,20708500,350114,106751,3,1,2,0.01690677741024217,0.304903545702257,2.8102781238583244e-05
FB15k-237,75,500,20708500,407,11,0,0,0,1.96537653620494e-05,0.02702702702702703,0.0
FB15k-237,76,500,20708500,31846,4651,0,0,0,0.0015378226332182438,0.14604659925893362,0.0
FB15k-237,77,500,20708500,210225,27418,14,12,2,0.010151628558321463,0.13042216672612678,0.0005106134656065359
FB15k-237,78,500,20708500,1957071,711563,0,0,0,0.09450568607093705,0.3635856849342717,0.0
FB15k-237,79,500,20708500,263434,125507,212,0,212,0.012721056570973272,0.4764267330716612,0.0016891488124168373
FB15k-237,80,335,6209895,271650,204268,100,0,100,0.04374470099735986,0.7519528805448187,0.0004895529402549592
FB15k-237,81,146,508080,0,0,0,0,0,0.0,0.0,0.0
FB15k-237,82,500,20708500,431413,94327,10,0,10,0.020832653258323876,0.2186466332725254,0.00010601418469791258
FB15k-237,83,500,20708500,1279528,626218,1684,1663,21,0.0617875751503006,0.48941328364834535,0.002689159366227097
FB15k-237,84,500,20708500,282977,100974,275,275,0,0.01366477533380013,0.35682758669432496,0.002723473369382217
FB15k-237,85,500,20708500,204923,31259,1355,0,1355,0.009895598425767198,0.15254022242500842,0.04334751591541636
FB15k-237,86,500,20708500,152539,46935,19,3,16,0.007366009126687109,0.3076918034076531,0.00040481516991584105
FB15k-237,87,500,20708500,4757260,2416224,2061,1131,930,0.22972499215298067,0.5079024480478258,0.0008529838293138385
FB15k-237,88,202,1353400,300037,159830,0,0,0,0.22169129599527118,0.5327009668807514,0.0
FB15k-237,89,500,20708500,14182,2361,0,0,0,0.000684839558635343,0.1664786348892963,0.0
FB15k-237,90,500,20708500,1737235,727524,1282,0,1282,0.08388994857184248,0.41878272081785134,0.0017621411802222332
FB15k-237,91,193,1179616,599618,358342,0,0,0,0.5083162656322058,0.5976171495852359,0.0
FB15k-237,92,500,20708500,2560,567,1,0,1,0.0001236207354467972,0.221484375,0.001763668430335097
FB15k-237,93,500,20708500,438681,77205,0,0,0,0.021183620252553298,0.17599348957442879,0.0
FB15k-237,94,11,165,21,6,0,0,0,0.12727272727272726,0.2857142857142857,0.0
FB15k-237,95,500,20708500,238257,155387,10,0,10,0.011505275611463892,0.652182307340393,6.435544801045133e-05
FB15k-237,96,500,20708500,187944,38322,3,0,3,0.009075693555786272,0.2039011620482697,7.828401440425865e-05
FB15k-237,97,500,20708500,119478,36819,111,104,7,0.0057695149334814205,0.30816552001205244,0.0030147478204188057
FB15k-237,98,500,20708500,329105,30445,3,0,3,0.015892266460632107,0.09250846994120418,9.853834784036788e-05
FB15k-237,99,146,508080,54169,22410,0,0,0,0.10661509998425445,0.41370525577359746,0.0
FB15k-237,100,500,20708500,1424416,295556,143,8,135,0.06878412246179105,0.20749275492552738,0.0004838338588964528
FB15k-237,101,500,20708500,14141,1159,1,0,1,0.0006828596952942028,0.08196025740753836,0.0008628127696289905
FB15k-237,102,500,20708500,633932,267458,2931,2928,3,0.030612164087210566,0.42190329562161244,0.010958729968817534
FB15k-237,103,500,20708500,155453,59943,101,4,97,0.007506724291957409,0.3856020790849968,0.0016849340206529537
