dataset,relation,selected_rules,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,104,500,20708500,104554,11169,4,0,4,0.00504884467730642,0.10682518124605467,0.0003581341212284
FB15k-237,105,438,13908836,683849,316545,0,0,0,0.049166515443851665,0.46288727482236575,0.0
FB15k-237,106,500,20708500,557252,200652,7,0,7,0.026909336745780717,0.360074077796042,3.48862707573311e-05
FB15k-237,107,500,20708500,200949,74432,16,0,16,0.009703696549725959,0.37040244042020615,0.00021496130696474635
FB15k-237,108,500,20708500,5851133,3210529,8498,0,8498,0.28254740806915035,0.5487021060707388,0.0026469158197916917
FB15k-237,109,500,20708500,957800,360090,1700,1694,6,0.046251539223024364,0.3759553142618501,0.004721041961731789
FB15k-237,110,429,13067054,3380666,1301147,0,0,0,0.2587167696712664,0.38487889664344244,0.0
FB15k-237,111,130,357760,52358,26386,7,7,0,0.14634950805008945,0.5039535505557889,0.00026529220040930794
FB15k-237,112,500,20708500,92132,6487,0,0,0,0.00444899437429075,0.07040984674163157,0.0
FB15k-237,113,173,848046,139403,75705,3,0,3,0.16438141327239325,0.5430657876803225,3.962750148603131e-05
FB15k-237,114,500,20708500,1809915,479030,0,0,0,0.0873996185141367,0.2646698878124111,0.0
FB15k-237,115,500,20708500,1693358,527428,929,0,929,0.08177115677137407,0.31146869120410453,0.0017613778563140372
FB15k-237,116,500,20708500,84157,26443,27,27,0,0.0040638868097641065,0.31421034495050915,0.001021064175774307
FB15k-237,117,500,20708500,35917,8814,232,0,232,0.0017344085761885216,0.2453991146253863,0.026321760835035173
FB15k-237,118,500,20708500,1429447,536102,0,0,0,0.06902706618055388,0.375041537041947,0.0
FB15k-237,119,351,7145775,952044,541746,181,181,0,0.13323173483631937,0.5690346244501304,0.00033410491263433415
FB15k-237,120,240,2275280,546018,201957,134,0,134,0.2399783762877536,0.3698724217882927,0.0006635075783458855
FB15k-237,121,491,19608085,230010,102194,56,0,56,0.011730365305943952,0.444302421633842,0.0005479773763626044
FB15k-237,122,473,17525596,739022,222450,0,0,0,0.04216815222717675,0.3010059240455629,0.0
FB15k-237,123,379,9001629,417194,66439,13,13,0,0.04634650017235769,0.1592520506047546,0.00019566820692665452
FB15k-237,124,500,20708500,655928,286029,1034,0,1034,0.031674336625057344,0.436067678159798,0.0036150180576095432
