dataset,relation,selected_rules,possible_pairs,observed_pairs,support_qualified_pairs,significant_pairs,significant_pairs_positive,significant_pairs_negative,observed_pairs_over_possible,qualified_pairs_over_observed,significant_pairs_over_qualified,possible_combinations,observed_combinations,support_qualified_combinations,significant_combinations,significant_positive,significant_negative,observed_over_possible,qualified_over_observed,significant_over_qualified
FB15k-237,10,500,124750,5870,1088,145,0,145,0.04705410821643287,0.18534923339011924,0.1332720588235294,20708500,19983,1345,1,0,1,0.0009649660767317768,0.06730721112946005,0.0007434944237918215
FB15k-237,11,500,124750,29848,11688,4822,18,4804,0.2392625250501002,0.3915840257303672,0.41255989048596853,20708500,644844,135756,1262,4,1258,0.03113909747205254,0.21052533636042206,0.009296090043902295
FB15k-237,12,500,124750,8433,5602,587,380,207,0.06759919839679358,0.664295031424167,0.10478400571224562,20708500,58638,29333,79,16,63,0.002831590892628631,0.5002387530270473,0.0026932124228684416
FB15k-237,13,500,124750,498,51,5,0,5,0.003991983967935871,0.10240963855421686,0.09803921568627451,20708500,99,4,0,0,0,4.780645628606611e-06,0.04040404040404041,0.0
FB15k-237,14,500,124750,16274,6099,2096,194,1902,0.13045290581162325,0.37476957109499814,0.34366289555664864,20708500,182055,34903,204,4,200,0.008791317574908853,0.19171678888248056,0.0058447697905624155
FB15k-237,15,500,124750,8912,5113,1151,441,710,0.07143887775551103,0.5737208258527827,0.22511245843927244,20708500,58171,20662,88,20,68,0.002809039766279547,0.35519416891578276,0.004259026231729746
FB15k-237,16,404,81406,66322,53096,18846,5543,13303,0.8147065326880083,0.8005789933958566,0.3549419918637939,10908404,6261259,3955082,13159,13158,1,0.5739848835815029,0.6316751950366531,0.0033271118019803383
FB15k-237,17,500,124750,3682,888,113,4,109,0.02951503006012024,0.2411732753938077,0.12725225225225226,20708500,8143,793,6,0,6,0.0003932201752903397,0.0973842564165541,0.007566204287515763
FB15k-237,18,500,124750,15219,4617,556,2,554,0.12199599198396793,0.30337078651685395,0.1204245180853368,20708500,130606,20977,93,0,93,0.006306878817876717,0.1606128355511998,0.004433427086809363
FB15k-237,19,500,124750,1362,398,25,7,18,0.010917835671342685,0.2922173274596182,0.06281407035175879,20708500,866,135,0,0,0,4.181857691286187e-05,0.1558891454965358,0.0
FB15k-237,20,500,124750,2827,725,49,8,41,0.022661322645290582,0.2564556066501592,0.06758620689655172,20708500,4226,403,0,0,0,0.0002040707921867832,0.09536204448651207,0.0
FB15k-237,21,500,124750,5636,1856,46,29,17,0.045178356713426855,0.3293115684882896,0.02478448275862069,20708500,20412,3040,0,0,0,0.000985682207789072,0.14893200078385263,0.0
FB15k-237,22,500,124750,8856,3638,148,129,19,0.07098997995991983,0.4107949412827462,0.04068169323804288,20708500,66832,16666,3,3,0,0.0032272738247579496,0.24937155853483362,0.00018000720028801153
FB15k-237,23,500,124750,8155,3435,1046,30,1016,0.06537074148296593,0.4212139791538933,0.30451237263464337,20708500,60032,15565,40,0,40,0.0028989062462273945,0.25927838486140725,0.00256986829424992
FB15k-237,24,500,124750,21186,12352,809,495,314,0.16982765531062124,0.5830265269517606,0.06549546632124352,20708500,420690,153056,29,27,2,0.02031484656059106,0.36382134113004827,0.00018947313401630777
FB15k-237,25,500,124750,15245,6110,5959,0,5959,0.12220440881763527,0.40078714332568055,0.9752864157119476,20708500,177766,38770,121,0,121,0.008584204553685684,0.21809569884004815,0.0031209698220273406
