dataset,feature,sort_direction,coverage,n,threshold,mrr_stage1,mrr_stage2,delta_mrr,gain_pt
codex-m,compact_formula,desc,0.28,5766,0.7456783529183257,0.3472204712344405,0.3492438541959181,0.0020233829614775822,0.005827372315589718
codex-m,compact_formula,desc,0.3,6178,0.7127318636496067,0.35082683869162806,0.352781299057205,0.001954460365576949,0.005571011536249282
codex-m,compact_formula,desc,0.32,6590,0.3478197533262115,0.34526129398462213,0.34714801871934053,0.0018867247347184035,0.0054646285801223105
codex-m,compact_formula,desc,0.34,7002,0.3478197533262115,0.3592555055792511,0.36101322090749205,0.0017577153282409275,0.004892660796963488
codex-m,compact_formula,desc,0.36,7414,0.3478197533262115,0.35861953127583907,0.36025884625401383,0.0016393149781747662,0.004571181531420443
codex-m,compact_formula,desc,0.38,7826,0.3478197533262115,0.35242795319160697,0.3544221723108119,0.001994219119204943,0.005658515736749026
codex-m,compact_formula,desc,0.4,8238,0.3478197533262115,0.34566571397925205,0.3476556468382785,0.001989932859026433,0.0057568129512142185
codex-m,compact_formula,desc,0.42,8649,0.3478197533262115,0.3560085842985712,0.3581832522797798,0.0021746679812086334,0.006108470629980101
codex-m,compact_formula,desc,0.44,9061,0.3478197533262115,0.3723368373158647,0.37482715587590154,0.0024903185600368416,0.006688348587771342
codex-m,compact_formula,desc,0.46,9473,0.3478197533262115,0.3631477033014636,0.36564886979996525,0.002501166498501628,0.006887463353789425
codex-m,compact_formula,desc,0.48,9885,0.3478197533262115,0.3567258382876282,0.35936554500071716,0.0026397067130889407,0.00739981921623678
codex-m,compact_formula,desc,0.5,10297,0.3478197533262115,0.34861728411372483,0.3513744520129822,0.00275716789925734,0.007908867474160974
codex-m,compact_formula,desc,0.52,10709,0.3478197533262115,0.3565903864650253,0.36001534831513604,0.0034249618501107637,0.009604750941446527
codex-m,compact_formula,desc,0.54,11121,0.3478197533262115,0.37337861815010864,0.3777622660701702,0.004383647920061573,0.011740489966405088
codex-m,compact_formula,desc,0.56,11533,0.3478197533262115,0.3718712270329371,0.3764714108944154,0.0046001838614782575,0.012370367823781203
codex-m,compact_formula,desc,0.58,11945,0.3478197533262115,0.36039308077405674,0.3648401244745652,0.004447043700508468,0.012339425859555941
codex-m,compact_formula,desc,0.6,12356,0.3478197533262115,0.3496265690613575,0.3539306963743414,0.0043041273129839075,0.01231064139244098
codex-m,compact_formula,desc,0.62,12768,0.3478197533262115,0.33937574698411244,0.343545214272542,0.00416946728842954,0.012285696091962395
codex-m,compact_formula,desc,0.64,13180,0.3478197533262115,0.329583930665951,0.3336264112229655,0.004042480557014505,0.012265405503376181
