coverage,rank,feature,sort_direction,macro_gain_pt,positive_datasets,min_dataset_gain,max_dataset_gain
0.2,3,candidate_dep_coverage,desc,0.03696106040598129,7,0.005889457334247394,0.08821692212784127
0.2,4,synergy_weight_top3_mean,desc,0.03523938552894273,6,-0.02666872600292791,0.11610126277726085
0.2,5,topk_synergy,desc,0.03523938552894273,6,-0.02666872600292791,0.11610126277726085
0.2,6,topk_synergy_sum,desc,0.035177131690707464,6,-0.02666872600292791,0.11610126277040789
0.2,7,synergy_weight_top3_sum,desc,0.035177131690707464,6,-0.02666872600292791,0.11610126277040789
0.2,8,synergy_weight_top1_sum,desc,0.034917811729924066,6,-0.025233022041766473,0.11610126281330291
0.2,9,synergy_weight_top1_mean,desc,0.034917811729924066,6,-0.025233022041766473,0.11610126281330291
0.2,10,synergy_weight_max,desc,0.034917811729924066,6,-0.025233022041766473,0.11610126281330291
0.2,11,synergy_weight_top5_mean,desc,0.03481640051529818,6,-0.030323509076572996,0.11610126284573052
0.2,12,synergy_weight_top5_sum,desc,0.03473545152334724,6,-0.030323509076572996,0.11610127553622696
0.2,13,effective_candidates,desc,0.03416354106917093,7,0.013287622633489926,0.07293476650318631
0.2,14,s1_entropy,desc,0.03416354106917093,7,0.013287622633489926,0.07293476650318631
0.2,15,rule_dominance_ratio,asc,0.033907294660953706,7,0.012815491029585235,0.07082235773828183
0.2,16,max_rules_per_candidate,desc,0.03365046209871398,7,0.000137805533334312,0.10641327376732646
0.2,17,syn_rule_ratio,desc,0.03355454159474907,7,0.006418881308014379,0.06454384826813597
0.2,18,max_candidate_dep_score,desc,0.033399070789781646,7,0.007239516032779836,0.06255986278233472
0.2,19,dep_rule_ratio,desc,0.03319907370710446,7,0.0062748065655355845,0.06408440679458227
0.2,20,num_candidates,desc,0.031893448348534345,7,0.012233859339364939,0.0737022349023384
0.2,21,synergy_weight_top10_mean,desc,0.03187167106516769,6,-0.03715711544098188,0.09900386115934157
0.2,22,neg_dep_ratio,desc,0.0314762147243115,7,0.002723489930398282,0.08181888161039153
0.2,23,synergy_weight_top10_sum,desc,0.03140631697478575,6,-0.037378000640153286,0.0945927681798111
0.2,24,redundancy_weight_top1_sum,desc,0.03049176409872469,7,0.0027500196133301014,0.080448899548349
0.2,25,redundancy_weight_max,desc,0.03049176409872469,7,0.0027500196133301014,0.080448899548349
0.2,26,redundancy_weight_top1_mean,desc,0.03049176409872469,7,0.0027500196133301014,0.080448899548349
0.2,27,sum_negative_dep,desc,0.03012215768574825,6,-0.04280254511847725,0.07953664912878589
0.2,28,num_candidate_rule_edges,desc,0.029863211888621035,7,0.0015808185707146816,0.07492234801648534
0.2,29,redundancy_weight_mean,desc,0.02968419391969712,6,-0.00270759293474343,0.08138311355048167
0.2,30,rule_mass,desc,0.02949461143818818,7,0.006086944206200151,0.07506008884131421
0.2,31,num_rules,desc,0.029094303218400515,6,-0.00016609126611599745,0.060980174641421137
0.2,32,num_rule_nodes,desc,0.029094303218400515,6,-0.00016609126611599745,0.060980174641421137
0.2,33,query_num_nodes,desc,0.029094303218400515,6,-0.00016609126611599745,0.060980174641421137
0.2,34,pos_dep_ratio,desc,0.029034702591055086,7,0.0038534859284031775,0.06329001196721151
0.2,35,red_rule_ratio,desc,0.02883561081070272,7,0.0027995314538789007,0.06406713870438185
0.2,36,unique_redundancy_edges,desc,0.028770460191152925,6,-0.02027847406921479,0.07270693686002128
0.2,37,num_neg_dep,desc,0.028770460191152925,6,-0.02027847406921479,0.07270693686002128
0.2,38,redundancy_weight_top3_sum,desc,0.028395698046513002,6,-0.014486200101633151,0.0817318504562452
0.2,39,redundancy_weight_top3_mean,desc,0.028332034363019152,6,-0.01468560258932472,0.08167790622501747
0.2,40,topk_redundancy,desc,0.028332034363019152,6,-0.01468560258932472,0.08167790622501747
0.2,41,avg_stage1_score,desc,0.027688415528373773,7,0.005596676331029782,0.08392385108867728
0.2,42,redundancy_weight_top10_mean,desc,0.0275590295411822,6,-0.021868066301163336,0.0813562590565089
0.2,43,redundancy_weight_top5_mean,desc,0.027420938494135454,6,-0.021553923811658438,0.08193088409880334
0.2,44,avg_negative_dep,desc,0.027398610753875872,6,-0.05051210368188375,0.07983120875869099
0.2,45,redundancy_weight_top5_sum,desc,0.027313827194566653,6,-0.024586141393367567,0.0820093874106802
0.2,46,redundancy_weight_top10_sum,desc,0.02712089719674054,6,-0.032434127465653995,0.08064406706983607
0.2,47,abs_dep_mass,desc,0.026954275416735944,6,-0.05804714804273314,0.07737054064149529
0.2,48,net_dep_mass,desc,0.026419083106750278,6,-0.055796978869883995,0.0776929618515938
0.2,49,pos_mass,desc,0.026407247024797607,6,-0.05629399413993874,0.07736678035184674
0.2,50,neg_mass,desc,0.02618461575531155,6,-0.03271215875237421,0.07367482547056325
