dataset,aggregation,relation,relation_name,train_triple_count,valid_triple_count,test_triple_count,stage1_mrr,final_test_mrr,abs_gain,rel_gain_pct,gain_bucket,selected_stage,dependency_stage_attempted,dependency_stage_accepted,valid_stage1_mrr,valid_stage2_mrr,valid_gain,num_relation_rules,num_relation_dependencies,num_relation_rule_types,num_relation_dependency_types,num_relation_dependency_type_source_pairs,parsed_total_rules,B_rule_count,Uc_rule_count,Ud_rule_count,Z_rule_count,B_ratio,Uc_ratio,Ud_ratio,filtered_synergy_count,filtered_redundancy_count,filtered_dep_total,filtered_dep_per_rule,dep_per_rule,stage1_headroom,rule_weight_B,rule_weight_U,rule_weight_Uc,rule_weight_Ud,dep_weight_BB,dep_weight_BU,dep_weight_UU,dep_weight_B_Uc,dep_weight_B_Ud,dep_weight_Uc_Uc,dep_weight_Uc_Ud,dep_weight_Ud_Ud,stage1_bucket,dep_density_bucket
FB15k-237,structural_r2d3,29.00000,/olympics/olympic_sport/athletes./olympics/olympic_athlete_affiliation/country,2130.00000,234.00000,258.00000,0.41295,0.41295,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.48975,0.48975,0.00000,47576.00000,117883.00000,2.00000,0.00000,0.00000,47576.00000,291.00000,43813.00000,3469.00000,3.00000,0.00612,0.92091,0.07291,22731.00000,95152.00000,117883.00000,2.47778,2.47778,0.58705,0.56620,0.43674,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,30.00000,/award/award_winning_work/awards_won./award/award_honor/award,3310.00000,108.00000,118.00000,0.17857,0.19592,0.01735,9.71435,positive,dependency,1.00000,1.00000,0.23725,0.26188,0.02463,19741.00000,40669.00000,2.00000,3.00000,40669.00000,19741.00000,721.00000,14305.00000,4715.00000,0.00000,0.03652,0.72463,0.23884,38818.00000,1851.00000,40669.00000,2.06013,2.06013,0.82143,0.87159,0.85379,,,1.04844,1.03828,1.05025,,,,,,"[0.0,0.2)",Q3
FB15k-237,structural_r2d3,31.00000,/film/film/genre,7268.00000,659.00000,722.00000,0.30433,0.30433,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.32344,0.32344,0.00000,15814.00000,42106.00000,2.00000,0.00000,0.00000,15814.00000,589.00000,11614.00000,3591.00000,20.00000,0.03725,0.73441,0.22708,29045.00000,13061.00000,42106.00000,2.66258,2.66258,0.69567,0.71196,1.03526,,,1.00000,1.00000,1.00000,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,32.00000,/film/film_distributor/films_distributed./film/film_film_distributor_relationship/film,2337.00000,146.00000,160.00000,0.28259,0.28259,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.27010,0.27010,0.00000,5821.00000,16178.00000,2.00000,0.00000,0.00000,5821.00000,663.00000,3818.00000,1334.00000,6.00000,0.11390,0.65590,0.22917,11642.00000,4536.00000,16178.00000,2.77925,2.77925,0.71741,0.89950,1.40849,,,1.00000,1.00000,1.00000,,,,,,"[0.2,0.4)",Q4
FB15k-237,structural_r2d3,33.00000,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,373.00000,39.00000,46.00000,0.54240,0.54240,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.54187,0.54187,0.00000,485.00000,1940.00000,2.00000,0.00000,0.00000,485.00000,393.00000,59.00000,32.00000,1.00000,0.81031,0.12165,0.06598,970.00000,970.00000,1940.00000,4.00000,4.00000,0.45760,0.76208,0.76041,,,1.00000,,1.00000,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,34.00000,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,1210.00000,110.00000,151.00000,0.51089,0.51024,-0.00065,-0.12767,neutral,dependency,1.00000,1.00000,0.49614,0.49617,0.00003,2686.00000,5381.00000,2.00000,2.00000,5381.00000,2686.00000,705.00000,1880.00000,100.00000,1.00000,0.26247,0.69993,0.03723,9.00000,5372.00000,5381.00000,2.00335,2.00335,0.48911,0.68818,0.69583,,,1.00813,,1.00774,,,,,,"[0.4,0.6)",Q3
FB15k-237,structural_r2d3,35.00000,/government/legislative_session/members./government/government_position_held/district_represented,1070.00000,123.00000,117.00000,0.84887,0.87416,0.02529,2.97929,neutral,dependency,1.00000,1.00000,0.87372,0.90155,0.02783,11175.00000,43270.00000,2.00000,3.00000,43270.00000,11175.00000,100.00000,9580.00000,1495.00000,0.00000,0.00895,0.85727,0.13378,20920.00000,22350.00000,43270.00000,3.87204,3.87204,0.15113,0.54311,0.50837,,,0.99814,0.99816,0.99811,,,,,,"[0.6,1.0]",Q4
FB15k-237,structural_r2d3,36.00000,/sports/sports_team/roster./american_football/football_historical_roster_position/position_s,622.00000,3.00000,1.00000,0.10606,0.10606,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.27632,0.27632,0.00000,13051.00000,29593.00000,2.00000,0.00000,0.00000,13051.00000,257.00000,12146.00000,648.00000,0.00000,0.01969,0.93066,0.04965,3491.00000,26102.00000,29593.00000,2.26749,2.26749,0.89394,1.00000,1.00000,,,1.00000,1.00000,1.00000,,,,,,"[0.0,0.2)",Q4
FB15k-237,structural_r2d3,37.00000,/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office,760.00000,85.00000,91.00000,0.52424,0.52424,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.58702,0.58702,0.00000,4043.00000,16172.00000,2.00000,0.00000,0.00000,4043.00000,346.00000,3018.00000,676.00000,3.00000,0.08558,0.74648,0.16720,8086.00000,8086.00000,16172.00000,4.00000,4.00000,0.47576,0.66397,0.64926,,,1.00000,1.00000,1.00000,,,,,,"[0.4,0.6)",Q4
FB15k-237,structural_r2d3,38.00000,/award/award_nominee/award_nominations./award/award_nomination/nominated_for,6277.00000,74.00000,132.00000,0.15847,0.15847,0.00000,0.00000,neutral,rule_only,1.00000,0.00000,0.12394,0.12394,0.00000,17213.00000,24617.00000,2.00000,0.00000,0.00000,17213.00000,2547.00000,6942.00000,7724.00000,0.00000,0.14797,0.40330,0.44873,8103.00000,16514.00000,24617.00000,1.43014,1.43014,0.84153,1.00000,1.00000,,,1.00000,1.00000,1.00000,,,,,,"[0.0,0.2)",Q3
